,,,,,Label,S4.1 B,S4.2 B,S4.3 B,S4.4 B,S4.5 B,S4.6 B,SR.1 B,SR.2 B,SR.3 B,SR.4 B,SR.5 B,SR.6 B,S30.1 B,S30.2 B,S30.3 B,S30.4 B,S30.5 B,S30.6 B,PR.1 B,PR.2 B,PR.3 B,PR.4 B,PR.5 B,PR.6 B,P4.1 B,P4.2 B,P4.3 B,P4.4 B,P4.5 B,P4.6 B,P30.1 B,P30.2 B,P30.3 B,P30.4 B,P30.5 B,P30.6 B,TR.1 B,TR.2 B,TR.3 B,TR.4 B,TR.5 B,TR.6 B,T4.1 B,T4.2 B,T4.3 B,T4.4 B,T4.5 B,T4.6 B,T30.1 B,T30.2 B,T30.3 B,T30.4 B,T30.5 B,T30.6 B,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
6.47_817.65,SM d38:1 ,[M+CH3COO]- ,AADLTHQNYQJHQV-SVLGDMRNSA-N,817.6459,6.47,43609,45024,40767,43666,35682,50908,35493,32989,40168,33143,48533,38454,35206,31175,41386,47830,36038,42214,57747,49787,52330,59049,68322,54476,64278,53642,45851,46583,63072,57208,51022,52877,53818,66664,61265,62073,47836,45517,39067,41350,39993,40880,49728,38102,25627,41137,40109,50771,46837,64603,48147,45900,44485,47574,164034,155458,152032,152911,109240,111192,106973,52727,48664,48517,46955,45813,45119,45187
5.84_815.63,SM d38:2 ,[M+CH3COO]- ,MDRFMTLYKHBJTF-NQYLGBTJSA-N,815.6292,5.841,4,6,4,5,996,5,281,182,5,123,7,5,5,5,4,307,686,6,299,304,4,1132,324,5,5,57,469,5,5,821,5,4,5,5,343,5,4,5,5,402,403,4,261,5,5,5,5,7,6,6,6,4,582,331,32002,30518,27755,29114,22917,23192,22569,6,5,5,5,256,296,5
6.73_831.66,SM d39:1 ,[M+CH3COO]-,YXSZOBWVQJIWNE-LUJNSPTCSA-N,831.6606,6.726,11169,17446,13641,16228,12269,20501,9693,11866,16108,13862,20514,8403,15220,10138,13651,14347,14537,16202,14516,12290,11699,8426,8947,14430,17344,12884,11275,8992,15341,13861,14177,6190,12586,14960,15009,16449,9460,13607,10362,10616,11375,9430,12182,8473,8707,11498,8742,12760,14630,15098,12078,2958,15913,11564,5100,4109,3627,3468,3135,2951,3193,17255,15160,13895,13465,12766,8626,11903
6.45_843.66,SM d40:2 Isomer B ,[M+CH3COO]-,VBFKEZGCUWHGSK-ADSSWVSQSA-N,843.6614,6.448,78944,97740,77913,86913,93663,114133,65660,68725,89336,75861,100215,74233,82031,65308,90223,92040,72518,92296,96127,78489,86636,99123,111942,87729,93165,85780,86628,72694,106585,111349,74120,70941,81202,93446,81666,81048,72694,57900,66998,64211,65526,71096,95833,50649,42349,59778,68582,85782,65249,88828,74891,67696,76999,64101,58162,57990,54726,56546,40630,39658,40542,89522,84750,86462,83623,82001,83081,81768
5.85_841.64,SM d40:3 ,[M+CH3COO]-,FMJPKVXVBYILLP-FTRJIJDXSA-N,841.6439,5.851,2646,1911,3021,3742,3558,4760,1623,2480,3354,1898,4548,1865,1977,2327,3057,3288,2237,2712,3024,2293,1395,1772,1157,1152,3218,2385,2278,1485,2140,2681,1213,2083,2186,1778,1547,1447,2139,1830,947,1384,788,1520,1420,1287,1066,2088,1490,2921,2656,2115,1210,2312,1931,839,8947,8366,7747,7767,6537,6186,6329,2605,2262,835,990,1599,1397,1765
7.41_859.69,SM d41:1 ,[M+CH3COO]- ,SXZWBNWTCVLZJN-NMIJJABPSA-N,859.6918,7.412,14733,7411,9824,13314,7895,15388,11762,9781,15243,8930,14397,2247,11785,5371,13953,10301,8468,11031,7488,8364,8648,11793,5884,12513,15940,6313,1924,1737,13929,2262,11278,8456,9851,11548,6237,14336,12118,5390,2420,6566,4829,6149,9777,2540,2818,9224,5686,944,11524,14025,7608,12313,9338,8194,10644,10277,10091,10620,6791,6545,6647,14178,11553,11629,10730,7786,8619,9311
6.79_857.68,SM d41:2 ,[M+CH3COO]- ,JBDGKEXQKCCQFK-JWQIMADESA-N,857.677,6.793,19938,25355,19939,22434,21054,26298,17025,17633,26461,19061,24598,25679,19127,14065,21517,18960,17144,22795,19869,18738,18292,22432,25185,22488,24844,22141,16096,19708,24566,19458,18114,19256,20780,21248,17492,21564,24370,22482,18779,15498,18448,19663,26136,17274,10751,18783,19363,16516,22724,28962,18094,23543,17920,19229,35036,34230,34826,33508,22855,23430,22694,24928,22217,20800,20703,19806,20713,20503
8.07_875.72,SM d42:0 ,[M+CH3COO]-,SMJLGESYPKPRNU-CRCOQUFZSA-N,875.7234,8.073,13,20,13,17,17,17,13,16,16,18,24391,14,16,16,14,17,15,18,21,15,13,13,15,15,15,18,17,17,14,21,15,14,15,16,19,15,13,17,16,20,17,13,16,15,17,15,15,23,19,17,20,14,23,18,3982,3636,3562,3441,1596,1501,1933,19,17,16,16,15,15,15
7.13_871.69,SM d42:2 Isomer B ,[M+CH3COO]-,DACOGJMBYLZYDH-GXJPFUDISA-N,871.6918,7.131,742440,754269,724830,804216,596582,637187,498276,503863,828711,621723,777595,827336,529310,445000,748606,582374,498139,657327,630410,836043,901781,943903,1260321,894909,1100408,808106,626061,608706,1118013,648857,716675,872817,1001619,1008701,729540,852588,1089592,989584,819777,628058,789557,970205,881182,805372,430845,943954,824974,561662,867998,1078815,746325,902157,610394,777515,468761,458245,464188,461164,328244,323674,323474,947185,856677,842710,811534,780769,772154,790003
6.54_869.68,SM d42:3 ,[M+CH3COO]-,TXFLWJQVQCDUDZ-BRUGZULGSA-N,869.677,6.542,23446,33570,26526,33544,38180,34528,19775,30911,33710,33775,38564,37484,22940,20923,30440,24191,21422,32318,24089,22648,19507,23220,25674,29807,31381,27939,16294,36449,25233,26262,22830,22282,25932,26000,20667,28081,40315,37407,24903,23173,23401,25636,38188,31463,14502,23576,26216,27621,33487,38625,27472,33880,22981,41378,254063,245074,236590,241863,184089,183795,181951,34683,29168,27865,27750,26669,25073,26619
7.79_899.72,SM d44:2 ,[M+CH3COO]-,YXEXWUZHFGYOHJ-UOJCCMJYSA-N,899.7224,7.788,28521,24676,27682,30122,17895,21361,18173,15891,29997,18724,25926,30160,18069,12898,29973,20940,16541,22159,22522,38313,42665,47415,69722,37699,50458,34245,23414,27867,57657,24707,32000,38043,47266,46023,26617,40197,52273,46881,37006,26642,36031,48019,40425,36708,18668,43998,36409,21831,40031,48737,30509,42849,22502,34155,3075,3170,3030,3149,2165,2192,2327,37666,34586,34392,33588,33156,33498,32881
4.85_885.55,,,,885.5535,4.851,6510044,9436926,6560827,8089911,8967769,1885298,2403722,2168290,7357907,8767521,8841298,6339903,8035788,8357787,6096474,1601431,7087554,8936874,9328347,7150205,1312258,5983393,6894750,7329314,7573539,1717842,1980518,8057632,6734575,9904072,7092053,2531431,6535308,7044866,8145507,6833758,6138088,8001886,7447938,3616793,8023069,6295528,7361758,7219470,8688762,7055415,1401574,3015462,6743753,6633764,9644465,6279757,9520952,1820460,244536,417530,405839,416709,18435,10355,11085,8698355,7889325,7713057,7565782,7392624,7401491,1939561
0.80_311.17,,,,311.1717,0.797,6485651,5219554,1749273,1985079,5362057,3103272,1981262,4694227,6463166,4276911,3250863,1407711,5057621,5469409,3398532,5017011,3261500,2734287,3567272,2644102,1981402,4175256,3389008,2674078,2202553,4623603,4867491,2709625,1652406,2197337,2132473,2487049,1934258,3217292,2996528,1756536,3528131,3975309,2656348,6656032,5549522,3201608,2049610,1573704,2679967,1744551,1917577,1859952,1774372,3238240,3127848,2812775,3721031,2514016,1978386,831767,1537262,1278299,1779766,1670029,1569036,4024127,3700292,3608449,3751184,3574592,3523765,3330782
4.73_835.54,,,,835.5361,4.731,2302078,522350,2394454,504002,3391113,2985785,3195398,3423128,2017484,3143948,74825,2016036,3400010,3928067,2383893,2893795,2927160,3086621,3733129,2519777,2546607,1486899,1670837,2247250,157419,2940894,3137562,2973382,1994246,3861881,2522519,2746575,1928346,2439823,3054968,1883100,1541535,190614,2347040,4073206,2236345,1753850,2985101,2657536,3650953,1759394,2476627,4458352,226948,1999968,4377015,2222360,2925062,3093613,436,30144,31226,31509,5607,5573,6000,8701,2249026,2490717,2650975,2713819,2819831,2830479
5.77_888.63,,,,888.6259,5.768,2478549,1429356,2720461,1875169,1030654,1958003,1564048,1387655,2897530,1584090,186432,3474217,1996356,985954,2476687,2111572,2009590,1027289,853098,2646710,3227647,4084753,3938121,2436299,411361,1871096,1795261,1260996,4069646,1474311,2231610,3143818,2918804,3025689,1806473,3015524,3489378,249755,2177361,1081883,2093292,3207240,2185433,2513955,872041,3187456,2331674,509849,1877023,3006489,1348683,3490675,876331,1724710,377,1993,1999,1800,1298,1530,1254,75474,2241518,2416063,2441369,2411500,2482554,2377224
7.18_860.64,,,,860.6415,7.181,2135227,2382897,2478913,2623771,1037342,1748750,1049427,1401768,2448491,1834263,2048597,2547148,1609488,1077066,1920451,1633982,1793975,1603424,966535,2233423,2225154,2346383,3015615,2531159,3355662,1755013,1865473,1334478,2704339,1631790,2047289,2367270,3063250,2610629,1779397,2549014,2996606,2944142,2483451,1435564,2729026,2839592,2387650,2451963,1238280,3507067,2424365,571310,3107704,3421056,1826731,2620972,1343653,1871782,3896,3872,4440,4570,4531,4732,4870,2916929,2560992,2409283,2266233,2194456,2141826,2108752
6.44_890.64,,,,890.6412,6.441,4497168,1751533,4239904,2865999,670327,341409,466632,244659,4765638,943279,1392922,4807828,601234,126130,951255,236340,3997152,2057092,298820,590279,495363,467315,5418078,4136235,3850930,216860,369307,695053,5495571,292993,3675883,764515,4180042,1242875,486974,4694041,5393324,2200817,3832114,185836,3421642,4920609,530588,788546,1824808,5140232,589660,67483,3156097,4940210,441691,174516,1149299,507817,1358,1571,1807,563,100,242,99,1820091,3153172,3668952,865123,625741,328549,213900
7.89_862.66,,,,862.6561,7.887,2382950,1743282,2343090,2776371,1235145,1701074,1511500,1600877,2610573,2006836,2059567,2495132,1598529,1194393,2055290,1508364,2022522,1988364,832997,1797585,2108047,2394893,2929191,2641121,2992905,1390386,1324381,1743441,2475802,1494343,1811533,2240892,2851653,2466739,1342234,2435191,2856359,2910695,1884494,1433077,2303099,2445104,2407553,2520881,1199893,3341492,2289149,551861,3430544,3113329,1704196,2700429,1341142,2124965,5035,5415,5901,5346,6501,6868,6449,2693239,2228396,2111397,1970920,1913370,1891677,1794380
7.40_527.45,,,,527.4505,7.4,156491,3507448,521410,1558380,1954179,3938242,750288,429601,1627745,489245,1000809,636278,1467722,1952890,226451,1362240,235284,3112548,2788611,1531352,685656,933221,1294799,1105165,3432203,6118494,3035762,811700,2045207,4517799,2972222,1777116,1864596,1524712,3049882,2397476,1380620,1631238,906393,4193085,1687648,1829670,3307652,2175713,1830940,2250114,4350218,6324602,2720312,2572502,3776366,684145,3949147,2950932,311995,194421,229068,216971,2177162,2263667,2271389,2013999,1960614,1981294,1994496,1979793,2016491,2024630
4.81_834.53,,,,834.5312,4.809,1520396,5427432,1461104,4075372,1825109,775129,863110,795382,3697588,1534858,3983722,903876,949031,966630,954518,725021,1446205,5755276,1473109,855272,547505,421627,885793,4072803,3066548,775405,748861,1120177,751494,1271466,1439041,699287,3529242,763732,992632,3500788,2816589,3712268,1147808,1202555,1720351,1147579,985022,728841,1318682,3254377,646672,1396714,3520940,3617832,1250587,582034,5650597,924882,878,2567,2325,2461,3496,2977,3793,3373636,4178523,1206809,912576,752499,744701,662795
6.18_776.56,,,,776.5568,6.179,1537189,1739936,1573723,1822809,1670662,1311465,1529204,1719071,1384422,1661779,1749987,1489590,1641256,2110383,1553269,1637966,1569953,1782117,1950499,1546623,1426402,1251931,1495483,1813071,1714080,1682330,1567028,1611112,1391445,1957769,1600925,1568356,1662334,1694318,1775653,1518518,1337122,1887967,1681314,2197097,1729301,1363395,1813298,1634175,2119892,1524877,1605828,2303655,1625838,1740669,2434609,1475996,2364481,1846120,4738,4540,4171,4987,5355,5688,6658,1765798,1704436,1669397,1656157,1648282,1641557,1632727
5.44_747.51,,,,747.5149,5.438,1670059,2215160,1328367,1587596,3217680,2294622,2328951,2733365,1749497,2144709,1978712,1118022,2447449,3513879,2145095,1956319,744844,2729760,2259416,1479112,1776766,1164703,1009651,1192523,1003538,1933132,1975549,1787871,1022183,2130192,1411599,1526641,1202096,1412533,1973710,1067303,763403,1250559,1293011,2406253,1200841,920509,1536753,366254,1975764,864618,1435679,2706216,1254584,1148626,2482116,1443926,1854523,2022761,13635,11937,13540,16634,21307,20943,21846,1800790,1586889,1736722,1922341,2080689,2204745,2202394
6.12_776.56,,,,776.5598,6.119,604374,1739936,1573723,1822809,1670662,1311465,1529204,1719071,1384422,1661779,1749987,1489590,1641256,2110383,1553269,1637966,627864,1782117,1950499,1546623,1426402,1251931,1495483,1813071,1714080,1682330,1567028,1611112,1391445,1957769,1600925,1568356,1662334,1694318,1775653,1518518,1337122,1887967,1681314,2197097,1729301,1363395,1813298,1634175,2119892,1524877,1605828,2303655,1625838,1740669,2434609,1475996,2364481,1846120,4738,5235,5678,4987,6327,5688,6658,1765798,1704436,1669397,1656157,1648282,1641557,1632727
7.88_886.70,,,,886.7,7.885,1755743,814166,1638832,1297895,707460,1106232,1053755,951621,1581373,1113296,865199,1945772,924150,686131,1589632,979403,1290602,956744,444578,1441551,1929897,2542408,2328841,1591581,1792115,982380,838792,1011801,2110882,777463,1238913,1782542,1885439,1792540,828089,1677797,2397569,1547789,1707185,799465,1498402,2414872,1550368,1920983,682588,2403274,1965466,334681,1730088,2050289,923921,2621901,665324,1288975,2510,3034,3045,2740,3189,3494,3432,1265215,1290673,1366991,1428322,1467732,1518630,1524872
7.36_846.64,,,,846.6445,7.357,1360890,1507865,1646606,1822009,782935,1067634,798776,998341,1442493,1248207,1784268,1568789,1120733,680089,1390086,1224283,1317649,1153509,679747,1442532,1465695,1614602,1918617,1770848,2077091,987582,1107377,974722,1734155,1088525,1382000,1563109,1799045,1629011,1271524,1717430,1713142,1828796,1301631,854624,1649294,1616055,1478047,1534969,803381,1994316,1306834,384690,1825441,1870950,1113826,1647204,915616,1270304,12129,12558,13550,13654,14573,14145,13324,1938429,1645059,1497118,1424765,1368361,1318232,1301836
7.22_834.62,,,,834.6248,7.219,2075852,1565613,2040265,2028426,877771,1469413,1327589,1281592,2090203,1364800,1672333,1998923,1182298,796680,1631168,1289086,1641830,1463530,585622,1274549,1454160,1520249,1913389,1503563,1837531,1071671,991210,1061391,1479766,1045758,1251796,1378319,1612656,1543490,994959,1573112,1504255,1473067,1270859,743680,1361022,1417320,1295423,1343007,649223,1714958,1275795,291562,1675952,1835747,949776,1383406,704467,1039487,3206,3210,3545,3515,3757,4183,3967,1740787,1546698,1438416,1348047,1318365,1328393,1292230
4.48_883.54,,,,883.5356,4.477,1804067,1431110,1889598,1384843,1192099,1428142,1884028,1379361,1375864,1781982,1673924,1049990,2136962,1387878,1071543,1158908,1642519,2274176,1008653,889767,1110053,969462,1009632,1457120,1141022,895890,1016612,1240910,1018727,1156232,1677851,1478069,1992037,1221850,1420504,1847550,1514708,1579243,1122572,1102058,1214388,942640,734171,1002317,1723587,1289402,698687,1119989,1390981,1540014,2256535,1451239,1832754,1653530,6562,4224,3430,2860,895,1345,1430,1619319,1483128,1354670,1275093,1207539,1227087,1187437
5.82_888.63,,,,888.6257,5.819,2478549,1429356,2720461,1875169,1030654,102075,98203,69917,2897530,1584090,1149177,3474217,161171,47816,366265,58890,2009590,1027289,125117,279857,112231,220464,3938121,2436299,2216772,74320,141286,203268,4069646,226641,2231610,197857,2918804,342545,188760,3015524,3489378,1116310,2177361,106661,2093292,3207240,144130,268360,872041,3187456,120960,28430,1877023,3006489,127814,155714,876331,124774,500,1993,7,81,230,9,396,1286022,2241518,2416063,266204,178608,143463,112979
7.85_929.70,,,,929.6975,7.853,1416785,1267923,1508539,1466308,740433,1049459,991351,899743,1377725,1117744,1349093,1439871,1118548,663625,1324100,1303198,1322891,1079772,594187,1129237,1257000,1466712,1449766,1261849,1590275,912677,1050816,683043,1572536,971264,1167752,1337055,1444812,1307641,994305,1329760,1611812,1468081,1386372,916715,1415947,1607018,1143800,1334344,891039,1820986,1257569,526929,1442152,1547808,1033039,1467713,962829,1019691,575,957,1150,1124,895,1539,1372,1491093,1360830,1311691,1285536,1248374,1233761,1227625
8.79_966.79,,,,966.7908,8.791,1877793,949613,1909701,1241381,1040968,237962,184977,90016,1434937,755742,849360,1926871,564956,113855,1138023,240448,1082391,1044119,664996,2100609,1830758,654403,2118906,1481962,2386750,312760,258442,528048,2245691,636960,1129452,1510191,2002400,1504656,1121437,1561594,1979787,1256796,2135683,169516,1626725,2285400,283750,224456,550272,2176601,268955,53374,1459875,2595106,586392,1245262,782425,537992,888,1003,879,927,617,845,3,1716145,1393773,1345087,1315056,450062,1239854,426586
8.50_931.72,,,,931.7197,8.502,1339390,829010,1272414,1248734,763260,890425,1138496,807419,1252899,974060,1018174,1217283,908645,557961,1197952,998759,1233695,1041277,454367,973430,1100800,1328533,1273672,1182145,1447664,757056,762248,750163,1292428,795922,1027384,1140798,1296230,1192877,778659,1263014,1628603,1428598,1403507,908592,1351372,1467957,1077674,1363687,867276,1770312,1195691,512191,1482628,1450919,956058,1449148,882090,1048063,2512,3871,3591,4030,3697,4234,4325,1331421,1232709,1178904,1177817,1124057,1111685,1132557
4.59_365.34,,,,365.3433,4.592,1390710,1045605,1796149,1331337,395495,898630,1221660,876680,1275823,802523,1106457,1207701,955593,598610,1092574,1215984,908825,681786,480994,876326,1551387,1192238,1629637,1438515,1293134,728516,1004845,734337,1085157,1302231,1274351,1420917,1241828,1234444,724309,1148074,1461037,1304649,1069910,896592,846911,1613874,1308349,1387482,1017689,1304510,1102402,446813,885316,1445297,1444794,1021413,673284,717077,17608,18879,17566,16946,19717,20120,20059,1253585,1181069,1151373,1128963,1121484,1141479,1176243
7.19_884.68,,,,884.6844,7.186,1181003,853176,1304338,981898,399776,825430,482052,620754,1149729,740438,673972,1619854,676951,448838,1080253,760116,815889,558142,372687,1209906,1527786,1755092,2035695,1172438,1421624,882986,852171,555732,1789531,609347,932876,1434656,1505720,1495941,764344,1246370,1713897,1126190,1274242,559566,1247908,1793296,1166187,1345904,481942,1772320,1450862,237380,1192660,1623315,683296,1767886,479158,810100,1993,1141,2176,2261,2231,2616,2683,1054584,1078611,1135777,1159185,1185579,1186708,1242089
5.71_760.53,,,,760.5301,5.706,1233992,2140370,908617,1064922,2053950,1688425,1691123,1826021,1315212,1947384,1046862,873045,2066596,2224580,1500012,1152026,1622261,1760304,1496176,673230,560518,329233,409842,933250,535145,1073956,718785,1037495,435249,950994,756112,781855,495785,644027,996335,608923,466807,769481,655486,1321784,797537,471164,1241642,875632,1453152,453097,760913,1896202,714728,976812,1505564,893012,1361844,1332512,553,1448,1746,1889,1909,2172,1911,957016,1066105,1097390,1112624,1064785,1066185,1017340
7.17_862.64,,,,862.6393,7.174,974392,1084470,1127053,1192137,480806,800409,488462,645872,1126143,846232,945533,1184475,741070,488961,898724,754047,828065,744382,428043,1017875,1006226,1073746,1390182,1132796,1514499,795161,842420,612678,1243896,749882,932935,1081356,1386308,1195402,814046,1143696,1368691,1328479,1130045,639425,1222194,1273334,1089059,1110092,561979,1575456,1103788,245361,1401003,1537056,835237,1181616,598888,851661,1972,2273,2332,2464,2548,2617,2606,1323388,1163785,1099600,1040494,1001202,967838,962634
5.10_772.53,,,,772.5306,5.099,1326709,897655,1604136,885570,1614004,972450,1981340,1547946,1222030,1284236,1345590,664573,1831793,1853414,1267725,994511,1378917,2041337,753380,412246,624710,366936,515595,949316,458235,702844,646787,1305373,394922,721769,907857,727554,900393,662026,721094,678952,599081,863097,681956,898151,806874,539051,850788,625724,1274572,540901,689415,814700,687066,721350,1561474,768015,1062666,932969,216,218,780,440,193,551,453,974284,989958,970952,975324,984654,1002755,998884
0.70_297.15,,,,297.1538,0.7,2590606,1350912,512324,544788,1512706,904985,566196,1312056,1872116,1162402,860342,399288,1412288,1538853,944506,1468844,888157,748457,1063388,774412,609554,1239148,947570,778152,592246,1310797,1360303,784450,477474,644111,612076,724455,533706,875814,903045,509705,978709,1092521,743290,1891447,1531427,847934,582096,464416,780069,489464,548535,557399,557943,893787,933786,847200,1002055,754510,502868,208652,442598,409774,522263,507527,479126,1025232,958375,1000984,1014813,1008762,997370,924009
4.91_747.52,,,,747.5196,4.907,1203762,1279273,1094373,1229422,1184349,1215696,1258521,1316721,744122,1332106,1105671,811593,1152224,1035172,1072922,1101589,1123268,918972,817304,785537,883606,768584,695196,904276,866370,843391,838014,935182,733746,927523,802460,951566,778150,788215,761420,802475,777480,873555,746270,942109,785204,735932,901216,922478,925655,780893,702131,894834,637492,657181,1017643,832116,832608,814660,1643,1908,2032,2059,1454,1508,1656,949838,875471,915580,955410,983592,981607,960773
5.06_839.55,,,,839.5503,5.063,794303,1477215,742115,1067588,1456940,931242,817358,1170422,1041499,1257495,912930,1083147,777421,1044048,937412,793949,925966,1030591,1134962,816394,864150,724827,915656,908752,1132902,926762,940641,1028281,867857,1031476,741893,812104,696384,782499,797877,672915,753174,935061,690978,907131,774741,811632,1090902,939988,710082,836615,811317,699546,594302,682924,649670,639522,587376,786311,12,342,192,347,12,233,11,1032930,964378,952277,908230,894593,890750,870387
7.00_796.59,,,,796.5873,6.995,1197204,706620,1046066,752372,410442,957672,1163838,692848,1026158,1111588,753693,841413,916264,640454,784851,655186,1201545,605717,483056,858447,1041073,1387889,1152673,968975,1222416,548691,634817,474474,1118355,603702,957878,1023804,847149,1014648,685557,1342366,674634,458436,591241,452197,520308,607823,664789,617941,364985,616001,532525,292766,631289,699219,448935,899709,357881,507190,10525,15739,12020,10997,11996,11766,10964,819275,809411,838590,825613,836764,841015,852886
5.14_505.38,,,,505.3762,5.142,579807,1230025,648068,1082720,822649,702559,512733,609513,828748,847522,1452136,641074,722180,619503,593084,655430,657274,1100355,1063261,689107,516801,533460,713889,794493,1007295,797652,744521,790142,670166,1027422,759657,559982,877771,723275,948972,789058,694943,1109267,772929,891043,934142,648848,729404,642155,808449,859696,641313,1085930,1241052,999713,951465,576680,1580898,845343,934538,816295,930962,959163,597319,573893,916756,1353609,966178,808703,707852,616819,606148,568657
5.94_844.61,,,,844.6082,5.942,657068,741384,700675,815432,528817,582501,386564,525356,614356,512902,780572,724890,495416,434869,584844,538485,533962,552295,601738,868295,1064044,997756,1279822,856678,1123908,716541,815706,579464,1153489,742868,744303,943281,980259,958646,806439,891991,989435,979154,851254,617024,845775,978694,712928,904174,587065,1089454,817953,439648,874260,961190,647311,775739,633415,670529,355512,271448,211280,178644,217410,227961,197761,925797,839511,799163,777919,757983,763182,756777
