,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
2.51_122.97,,,,122.9697,2.508,405538,70188,582777,322043,281484,794187,46119,16324,850255,39859,731,32956,11173,1844,470608,209564,423006,990,11057,869,85142,31059,603906,266319,506110,10713,324586,47166,361635,109642,16277,454694,211941,1051,1766,845105,341609,319131,524635,1746,195855,17244,810419,42508,2168,448462,239920,985323,85167,11792,1229,738,19212,945,914,718922,559128,244163,23341,1760,1914,756,966088,379312,243341,22417,1450,902
6.67_650.57,,,,650.5747,6.675,166012,340988,245303,274496,537451,287557,77415,186653,315854,292946,242712,449371,59773,228712,131599,125802,196814,288681,370004,356666,303335,237535,319285,205284,394911,270479,312139,103349,291497,307045,90485,102769,78159,84221,62514,80986,93050,79387,115103,83388,116296,105288,84523,55918,72542,121445,91514,111696,50593,56371,77208,61269,63351,38853,57,24,240,175,142,170,163,179436,231861,201808,195268,184287,184726,186658
7.36_681.58,,,,681.5829,7.358,191560,224003,193687,211750,182688,184388,263428,301153,261220,190919,327618,224705,242196,245638,189873,175199,145124,255506,276670,281795,250977,326688,80285,289230,235737,279317,261178,391988,190584,259872,191835,151973,143220,200245,220518,112569,114247,122922,123908,194933,126364,201808,75963,129193,183674,141046,146127,83243,124030,127804,167391,154096,188499,104405,558,9,17,89,548,179,605,265866,153510,192514,209879,264501,287930,284487
5.59_122.97,,,,122.9696,5.588,305695,58718,349997,310495,468069,590266,58853,21234,628543,35810,659,31932,20716,2000,328393,140991,578761,1077,13520,998,70935,42420,563920,305445,555239,14520,368601,63746,369151,74850,21554,448457,216510,1711,1506,753057,422019,391194,698631,2030,231976,22719,769517,47615,2242,586519,172818,615225,96163,22000,1359,660,31664,858,498,385915,292092,113204,30408,1548,948,857,731911,493661,242325,29995,1633,1172
4.30_122.97,,,,122.9696,4.299,237648,85645,321020,265452,583082,573793,72802,26685,515672,71578,953,101431,20815,5488,305447,135765,406428,2825,29234,1594,117393,44087,383443,233282,411698,21021,252115,75340,286575,138518,23631,269512,193223,1826,1744,502454,581367,459866,649194,3808,394850,62310,602968,97839,3917,642471,325589,677386,145451,24554,2017,874,36426,1380,629,447388,309303,110521,32580,1670,1184,1021,635525,356477,263800,44519,2411,1883
1.63_122.97,,,,122.9695,1.632,392451,88903,572892,329338,288804,834627,97422,34435,849063,53111,1610,41131,19905,5031,462825,195401,417107,1905,20331,1740,88066,47534,593590,269859,515574,22283,328241,106884,274009,90464,27907,308250,177371,1592,3250,619358,267804,293768,488365,4358,120358,32444,691025,63740,5114,398349,171673,911438,91382,19658,2710,1691,38727,1426,1633,797389,670814,245138,45403,4443,2986,1724,943491,348953,215969,43565,4171,2444
3.98_884.55,,,,884.5461,3.985,152635,211655,200002,157220,239728,234116,99246,166137,131320,165505,192887,175599,196621,96412,343901,183459,153489,153891,124224,104008,137733,180684,118849,141469,141222,118523,87569,139484,94978,166555,274138,312232,381028,287699,314230,382245,212465,141194,172336,215931,142271,150139,110455,134576,92361,162267,136185,211905,367368,254143,243713,298134,287625,488844,106,8,15,94,7,7,7,178456,218914,200318,194430,189465,178027,173463
5.06_789.52,,,,789.5244,5.056,57162,216098,87939,128623,478721,129197,93390,181763,148740,236804,208491,322002,84732,239994,91257,108224,202809,232474,167576,156869,125879,142628,46903,77160,87651,152762,76584,47425,144875,214338,191529,152202,129357,176162,107477,48842,181993,159970,170860,250524,203113,243112,82098,174167,130065,182056,192552,66193,349967,208308,257960,351566,193628,393955,10,152,24,13,12,246,244,187105,69086,158711,185611,203213,192520,186576
1.78_122.97,,,,122.9695,1.776,359621,80753,524392,296348,265678,797369,94601,36203,807213,48693,1529,38528,21910,4346,431165,180001,395151,1886,19227,1537,76327,44379,572139,244593,479705,22336,291636,99456,241710,85810,26616,282201,176779,2070,2840,634212,244950,272991,426936,3678,127829,32191,647243,66815,4835,347987,167695,837737,88388,18320,2664,1481,36261,1532,1402,749332,578370,205717,45814,4640,2749,1475,898856,316446,190530,40941,3639,2503
5.23_508.47,,,,508.4747,5.23,321066,178550,290524,250998,147470,256615,200845,160950,300977,131682,183517,113596,121072,152164,256136,210437,151335,142494,273673,224152,308253,360824,441318,380529,379758,251364,421669,246795,240314,292417,117312,146358,98649,117746,114314,179276,69470,87356,109166,60288,83976,82952,80259,56572,68451,107015,104254,99597,47939,69461,76112,58620,78476,26671,1790,2139,1823,1880,1766,1981,1986,153242,246528,197622,184537,171090,165747,155914
4.37_122.97,,,,122.9696,4.365,218392,60037,277100,188029,436728,413769,69048,20916,440944,38395,692,33770,18679,1899,279525,136372,666691,729,12715,1329,72813,34649,331451,391682,551996,14268,183312,71400,418553,71667,17095,517595,393210,962,1109,443809,553657,454175,343746,1694,206730,22300,393974,47079,1952,639364,151145,510066,83542,14664,963,874,24553,519,652,448822,313450,108795,31673,1670,1271,712,512379,259588,169694,28155,1365,1313
5.94_122.97,,,,122.9696,5.943,212002,41725,289476,415024,283004,419703,57463,16750,479533,22947,575,16494,19970,902,240267,122976,551165,865,5835,663,33716,28014,366942,289915,715740,7917,386174,64974,279235,38766,11679,331422,159796,1146,1041,590653,344730,309001,622420,1087,160995,12409,1064041,27641,1292,485593,103323,591588,45260,10641,729,490,16236,405,626,331028,298124,110316,26744,1675,897,524,629755,445266,179680,17724,1279,747
7.38_592.57,,,,592.5684,7.385,220330,150148,197581,180698,106840,238962,100095,116635,187045,186174,245337,160061,100205,220056,126712,196782,166675,193060,277411,253692,257750,312774,309483,293677,344836,249890,270920,129918,276799,249064,211055,234180,126092,156531,132396,186632,73551,78804,94660,70456,82589,82352,66874,52111,79047,108987,84285,114920,75162,81663,98077,77520,94449,63767,2018,1968,1872,1886,1767,2071,1835,157174,200313,177029,167566,160404,154947,154891
7.73_606.58,,,,606.5845,7.734,302701,159359,281681,279371,196542,291393,215367,182078,328883,158965,314907,156314,185868,186130,263376,172581,197830,208204,233038,129940,161775,268159,352574,350937,267054,181389,181959,120707,203713,249287,226881,238972,174725,157114,108011,165351,113744,79599,78505,49114,85720,66156,63475,41260,61383,98553,72705,63176,60905,83874,73819,76508,84255,54933,1100,931,1037,1048,946,1126,883,226945,345366,308908,282090,254705,237009,241211
4.20_886.56,,,,886.5623,4.196,193613,185344,187122,102875,205750,177606,126230,120612,115720,59517,83586,95144,290347,66168,205112,110919,149403,56313,134920,111651,128020,154685,95225,123098,141523,116500,77586,152646,119368,157342,271092,353713,363617,309894,394484,512400,135279,110855,138417,202471,130071,125099,101841,145945,83738,141710,125884,179229,430766,274960,213334,342757,307746,301864,3,207,65,3,82,262,687,158687,203084,182874,178093,172573,163053,161320
7.42_681.58,,,,681.5808,7.416,191560,224003,193687,163756,204466,170567,187327,244034,261220,327557,217245,247683,144666,220961,199430,154504,145124,222079,201464,188837,250977,171214,92596,168193,147618,236923,261178,391988,100648,154784,139670,133019,95591,200245,143571,112569,114247,84703,73971,109476,126364,124065,75963,129193,114182,141046,83645,83243,133997,111019,131302,118298,188499,134566,6980,5788,6347,8634,11955,12695,12595,188966,109137,133961,147404,190711,169375,173902
1.88_253.22,,,,253.2181,1.876,181891,160439,181408,196818,134679,165006,146250,160168,161896,158193,112414,202174,220608,106988,156970,174972,272848,148073,283785,241489,220881,203992,222543,135273,169267,172194,186641,203350,242547,128189,115705,106203,128996,97847,118775,138316,198103,119773,121085,115109,69527,82031,376020,102567,153303,163249,156682,335964,83728,162043,146468,76313,107875,70367,62299,62911,79987,81267,57657,57045,58939,145951,203733,189037,162573,173067,142135,154054
6.04_122.97,,,,122.9697,6.043,248871,58915,315131,263941,458829,508605,61227,22206,448650,37115,888,28710,21465,2352,312486,146494,549359,1222,14151,903,66308,42051,396233,218899,460030,15200,276069,65208,349680,76664,21147,386473,199565,1836,1411,533218,350234,354628,520195,2050,250947,24506,500137,45112,2365,506670,167381,433938,82664,19918,1377,974,29326,929,557,410344,300457,214061,23653,1630,1072,954,567297,401073,224374,27552,1857,1099
8.02_709.61,,,,709.6149,8.017,159060,272543,167408,179482,208435,161759,268763,272872,162031,246736,228799,206541,239980,237124,241068,179682,120330,235149,189826,207550,148212,137913,69311,121469,114639,237799,112328,260451,108969,140778,184671,163696,116919,182233,221407,110799,76421,109685,88176,173110,87501,132279,53030,150702,144311,97504,96013,63969,145856,123777,172030,145794,144102,165298,14515,4182,5182,7364,11156,14154,13448,204337,107154,139590,151351,199564,227568,225201
4.66_122.97,,,,122.9697,4.656,255363,60474,395282,299091,391265,453772,60309,22221,445069,39813,398,27081,16986,1541,423252,185066,487759,856,13448,787,82870,34915,323845,307168,347332,11856,182482,72555,253764,75178,15434,265307,217217,1038,1118,432948,444136,416001,544827,1800,254312,22441,476574,47844,1712,517481,202055,496157,101179,13487,955,743,25835,632,757,460473,304086,107901,31367,1712,1151,437,531157,358775,252466,25625,1598,1071
10.21_819.64,,,,819.6403,10.213,164102,164576,187008,163916,154044,222067,402877,241167,291546,90414,200419,93378,623104,111305,263454,166090,142368,112613,76160,115256,115660,189455,85095,160011,133581,126686,95607,402380,128589,151452,125626,201649,194382,183373,387068,289615,146355,181458,214859,158636,184680,180661,138407,207798,124552,171181,164767,167562,178968,162698,110072,204013,184081,163012,100427,46915,90129,75607,91638,90530,89057,169291,173304,164004,161204,158784,130117,120463
0.56_206.08,,,,206.083,0.559,307123,141948,366738,69179,11490,20831,695739,142786,72567,695792,275203,183346,82386,104449,156023,809386,241499,144315,14453,9699,5927,34887,28734,68634,92056,30515,9629,31756,152494,47300,447959,374062,702380,262613,391662,694101,121995,12632,20704,48368,39969,13270,407778,86814,24878,9401,26045,188205,221462,39832,10118,13400,91635,422731,420,553,638,350,468,643,359,126388,216923,175403,166048,139631,127078,126705
7.36_664.59,,,,664.5901,7.358,169422,175716,166964,180982,133008,126897,91393,142097,189660,203170,234450,234236,86815,190440,119825,167508,125443,219491,298048,308373,319494,307964,211803,297024,235789,246249,322513,100911,229197,300119,99844,90810,78302,101678,68200,56121,82852,70031,76357,75429,92208,98900,46876,51405,87991,98690,92896,46883,63437,70549,85718,65695,74549,47163,175,90,203,8,174,130,123,173601,98134,155319,168063,172260,167737,170910
2.43_122.97,,,,122.9694,2.429,321848,73737,484506,263182,237731,726165,86875,30668,726619,46127,1455,34573,19666,3686,386041,165207,318449,1776,18673,1653,69013,43118,551589,222097,437037,19707,256730,90395,214941,75336,22811,249753,159955,1752,2502,580021,212520,234118,360648,3329,115933,28171,595015,58821,4047,295857,142911,800932,79173,17060,2152,1216,34647,1436,1500,739628,556512,198855,43724,4069,2158,1229,836798,274910,170847,35979,3095,2262
5.47_842.59,,,,842.5931,5.472,156666,155152,134030,200208,223564,191567,213100,193966,164033,117365,135542,86429,166477,161837,98468,154526,194198,123736,132223,87678,96771,131286,74791,174114,169836,149255,82742,181653,135295,162325,200838,277830,159528,190629,243852,407788,126807,122044,156009,143415,142405,111625,106987,155500,106240,168783,135044,151695,308588,196478,173086,292774,223155,233819,396195,424019,489274,426780,430118,428062,419647,142420,188432,171460,162517,154300,145052,141917
11.19_393.29,,,,393.2906,11.187,267598,114231,199478,191745,141981,276323,226809,112079,302435,90714,97600,69716,305581,71106,219557,234336,167127,62026,87751,62964,89585,125149,350093,132786,207592,84812,246923,255045,182873,128186,127734,157606,133453,146501,216347,385762,158503,178444,283248,130886,201658,128348,284327,156010,96105,240467,189687,387948,126681,133422,80089,116033,135313,111241,102471,265172,299536,125574,116863,97613,97125,126128,370015,202771,165836,129340,109018,107768
4.77_933.55,,,,933.5503,4.772,126510,181258,127442,159060,213070,129659,51527,105672,98000,195238,33664,177032,41985,136436,120171,186144,230257,119910,158279,104068,166197,142896,111756,126349,158841,173291,123772,33569,233785,236050,184510,195775,224340,79109,38490,170825,131702,154458,159679,82605,252110,214691,81647,227739,125927,187085,148977,93689,305741,170901,104265,66687,349726,67289,157,727,402,387,499,385,114,49886,136086,163000,184129,191616,97361,96238
7.04_638.57,,,,638.5748,7.044,221738,198810,181600,146885,137499,256478,69437,125636,207845,193147,215466,232507,53047,276934,97517,129682,151375,183095,171951,142172,140754,153878,166840,146879,197627,121709,156274,234331,244033,345798,186332,230690,126122,143719,152962,212181,104079,103519,126436,72030,131233,117534,105437,62673,71143,132944,121145,107246,58174,79724,72315,75094,101917,35515,5406,4224,7325,4777,4906,4750,4438,158108,197526,183145,176348,161287,151171,150648
5.47_878.62,,,,878.6159,5.473,24322,29638,39804,92389,61850,64301,50812,73320,64168,29347,69338,75700,49541,150671,34276,55150,56756,115120,76216,83625,108973,85751,95389,102539,94660,99214,106935,181079,126796,90782,137667,184614,169977,121873,135561,163271,240997,444062,318550,209735,372342,281879,313778,310410,274202,308620,342960,214336,187570,216990,194833,134719,265301,214281,876,1092,1718,1409,1329,1274,1100,139981,192720,172084,164364,154354,146463,144182
4.30_857.52,,,,857.5201,4.3,69512,123516,92610,63446,168183,101281,103621,61570,152456,1011759,696785,88599,180978,124447,118042,56328,115705,69808,42420,22572,29971,77852,22418,77970,51184,45586,126143,64400,30657,64788,111131,62246,78330,100967,94366,103031,105048,76484,57662,56617,79464,82210,78824,139915,61617,100444,85683,94560,168250,203558,93146,133399,103227,1328831,10337,6814,4527,5771,6217,9106,5308,628888,75220,67775,92604,81578,72411,56764
5.11_836.55,,,,836.5545,5.114,37794,103851,72754,138155,234995,92146,49354,94218,137920,99032,65590,189315,27005,81681,58589,71345,99552,130658,124996,116039,137584,157656,122301,167942,260992,145982,83699,89675,213861,129073,69734,158533,199239,103200,67606,100761,222408,230976,267719,181879,300087,180842,171268,233476,71218,276544,162856,167600,306659,183551,98142,130901,182976,169842,277,92,197,142,348,202,485,99428,119688,185236,156211,133699,90790,85964
5.10_100.97,,,,100.9677,5.101,224357,29110,428153,209522,168226,875298,46542,21175,844079,14377,2937,11449,21638,3010,299475,74365,253890,2023,9651,2067,28659,30345,694192,145505,483175,10104,208938,72511,148239,30934,15303,163948,81014,4089,7870,636723,160415,151237,338145,5454,76466,12285,720062,22023,3661,253413,66302,1075610,29552,10631,3023,2936,14631,2680,6333,438711,250434,101376,37613,10789,9063,2798,1139645,228093,88976,17452,4498,3571
10.48_122.97,,,,122.9695,10.476,210563,35940,438874,191950,176612,693345,19973,6074,539313,20677,238,14893,10208,604,284675,84862,308049,296,6427,233,36566,43942,952036,136036,513018,6404,190344,12245,138435,38409,8860,156511,75846,1028,370,604305,156099,95337,291746,528,142735,8922,509930,22845,499,246070,68365,1211983,38633,9966,454,279,11382,159,3,345935,159919,52700,8932,369,215,187,1282950,231944,79181,13780,686,398
6.66_602.51,,,,602.5129,6.659,85974,109000,57488,104676,64500,93451,71715,97195,77094,77874,129744,91623,68102,126066,67690,88418,59973,132343,296531,323692,249631,327037,154990,184307,233836,288774,273606,248389,223749,283918,203674,201637,129255,196186,221565,159557,63284,94380,96813,138189,109753,130378,49855,84741,104059,104231,112991,77422,53912,70155,99313,78172,136877,54010,8874,3546,4647,5370,7254,8949,8873,179088,115708,136990,143503,178307,191747,187784
10.09_122.97,,,,122.9695,10.085,271555,39770,472002,225558,198765,584973,21858,6301,510067,24257,223,18078,11155,581,318194,92050,378845,354,7284,251,38710,43660,900685,154484,478343,7857,247852,15765,183342,40052,9234,162825,72430,1010,533,439381,165393,95822,284164,580,118628,8439,394712,22508,614,264732,72135,1093132,41695,11814,437,163,12820,270,116,160055,104953,39399,6816,436,336,141,1090538,262924,94507,15755,539,279
