,,,,,Label,S4.1 M,S4.2 M,S4.3 M,S4.4 M,S4.5 M,S4.6 M,SR.1 M,SR.2 M,SR.3 M,SR.4 M,SR.5 M,SR.6 M,S30.1 M,S30.2  M,S30.3 M,S30.4 M,S30.5 M,S30.6 M,PR.1 M,PR.2 M,PR.3 M,PR.4 M,PR.5 M,PR.6 M,P4.1 M,P4.2 M,P4.3 M,P4.4 M,P4.5 M,P4.6 M,P30.1 M,P30.2  M,P30.3 M,P30.4 M,P30.5 M,P30.6 M,TR.1 M,TR.2 M,TR.3 M,TR.4 M,TR.5 M,TR.6 M,T4.1 M,T4.2 M,T4.3 M,T4.4 M,T4.5 M,T4.6 M,T30.1 M,T30.2  M,T30.3 M,T30.4 M,T30.5 M,T30.6 M,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
4.41_862.56,PC 38:7|PC 18:2_20:5,[M+CH3COO]-,HRBNRYBXXRPMKP-OMCHRGCMNA-N,862.5615,4.411,166051,156962,186991,199163,278267,173842,181491,270733,227070,213568,178302,215330,355291,155619,173520,162047,179400,196402,368629,314194,370865,379053,375599,380609,465931,382163,393866,454089,399738,342320,407482,377526,511706,310219,284190,384972,610165,646702,634549,514756,502301,710276,638273,505302,565026,571238,738279,590695,353439,563565,354088,382743,396828,383389,5797,5253,5829,5850,5682,5536,5131,391114,368616,364873,351864,350934,335674,350099
4.05_860.55,PC 38:8|PC 18:3_20:5,[M+CH3COO]-,QQNHCRBGLPDWEW-FJTHKLIENA-N,860.5466,4.051,262640,312440,192909,189450,337491,302815,210265,274481,274069,239584,191108,212920,292008,180955,170050,196220,181628,156663,342374,232907,201600,273346,159247,181526,274616,223620,308936,207364,306248,233040,348266,383824,258382,214300,286415,427338,336599,261753,355442,391889,299951,357446,359752,357778,259403,321133,368317,532484,267262,364219,234549,421412,328608,355974,8,8,197,9,139,217,281,291854,302645,291749,292635,291869,282040,282956
3.79_858.53,PC 38:9|PC 18:4_20:5,[M+CH3COO]-,JKQQGFLBFJQGQB-WUIWXDHENA-N,858.5301,3.792,21722,28487,16383,17536,43179,31006,17146,35925,30436,29388,18785,31288,21937,17338,20480,17791,13392,15171,27927,22672,16893,17778,15245,13356,20389,19087,24127,36485,19270,19469,19393,22841,14099,11586,17203,29146,57114,44771,42982,45016,45121,41931,45954,66253,35376,34480,47283,68343,26745,34858,22928,38095,31084,38278,371,381,454,223,215,235,419,30621,29413,29927,29603,29570,30604,29133
5.05_880.61,PC 39:5,[M+CH3COO]-,YTUVRFVITPTFSM-WARBFJPKNA-N,880.6078,5.052,17344,13607,15574,18975,16889,14499,19357,17445,18556,14468,15865,18376,20545,14222,9839,12390,14943,16442,18471,23634,25890,20119,24264,24454,22782,22661,21273,21457,19366,18722,16817,14301,21891,21070,19104,14921,18964,17824,20798,19689,20098,24008,21696,18357,19024,19513,18285,18511,13313,14593,14914,13035,15634,13133,729,980,759,660,865,982,1459,19451,19038,18820,17613,17875,17450,18026
5.38_878.59,PC 39:6|PC 17:0_22:6,[M+CH3COO]-,KSRURLYJRNYEOH-CRVSLQDRNA-N,878.5931,5.375,45770,30873,33701,38483,37247,46794,47389,37339,32395,32899,39321,42925,37126,37042,33041,33452,24759,25592,15814,15970,14718,19911,18016,21791,18045,20599,16804,23606,14978,19898,22203,18060,16870,17389,12192,15770,18015,16834,18037,12414,12200,17504,17822,13082,12108,13256,15954,15503,17204,18130,18549,23787,15914,17878,1953,1952,1889,1782,2459,1906,2070,26934,26178,25756,23453,23571,23091,23005
4.85_876.58,PC 39:7|PC 17:1_22:6,[M+CH3COO]-,BWMGYQAIDPQZGJ-OYLXYYNPNA-N,876.5772,4.847,25101,22918,22646,27946,32472,29635,36435,32525,27601,30018,30001,35253,40336,24366,18694,20868,26987,20695,13356,11842,11268,16389,12875,18854,12459,14649,13626,21407,11442,15709,16575,12814,12779,19275,9836,11625,15507,15379,14741,11568,11556,15482,15279,12776,12670,12087,14422,14423,14339,14554,18015,17683,13301,14936,431,871,524,920,917,652,547,21793,21089,20812,19210,19743,19998,19338
7.89_902.69,PC 40:1|PC 22:0_18:1,[M+CH3COO]-,AWZDTGDSDIBXAE-QLYXXIJNNA-N,902.6875,7.89,24022,16965,24268,19023,10745,12936,22997,16614,20584,18963,20952,12901,17146,14170,22465,18959,14161,24607,12172,13697,21685,17047,11664,25849,12573,21736,21243,44922,14264,16926,14943,24372,25266,27661,28136,24431,12502,19063,11107,25195,29070,15396,13788,13840,25754,24155,13980,16837,32220,25267,24425,16918,27178,18059,316,1115,805,675,901,386,466,22294,21773,20923,20235,21255,20141,20374
7.22_900.67,PC 40:2|PC 18:1_22:1,[M+CH3COO]-,MOAVQOSWWXXGJQ-KEUJNBLRNA-N,900.6715,7.22,14535,14625,24783,19450,7239,9729,15840,13896,16021,17949,18210,10641,15231,13533,20270,14590,12329,24380,5775,6494,13683,7417,7074,18132,6492,12258,10332,25046,7040,10381,8872,14910,26469,22439,22637,14057,8319,13663,8266,12864,24805,9425,7797,9065,22499,18072,9044,9306,22983,30626,23234,8658,29696,11862,948,534,795,347,772,561,661,16119,16631,14580,15631,15694,15209,15617
6.67_898.65,PC 40:3|PC 18:1_22:2,[M+CH3COO]-,DUAKPLFDAPDPHQ-AVYKBPSGNA-N,898.6549,6.666,4202,3268,8615,6520,3877,2992,6794,4631,5055,5940,5414,4559,5150,4408,4948,4180,5347,6151,2128,2233,4007,4615,3838,9640,1956,4013,3406,7719,2938,3263,3982,4131,10312,6834,5738,4366,4434,6157,4441,3526,7314,4099,3650,3880,10206,6377,4236,3354,7944,12119,8047,3394,9785,3711,1284,1319,1368,1386,1501,1287,1068,6045,5894,4971,5468,5397,5063,5276
6.39_896.64,PC 40:4 ,[M+CH3COO]- ,QQIYXJBHMDYXHH-NMUBDWGHSA-N,896.6408,6.389,6013,3871,5454,6778,5727,5207,5272,4916,5032,4085,5217,6497,7758,4875,5238,5610,6310,6803,6261,7393,6857,6459,7902,6811,7624,8792,6934,5098,7591,7270,8861,7683,7206,10157,7433,6442,5531,6522,6143,5148,4923,6419,6266,5672,5467,5717,6083,5442,6507,7096,6537,6837,7701,6415,42981,43487,42921,42462,41733,43285,42985,6993,6741,6887,5947,6310,6483,6042
5.93_894.63,PC 40:5 Isomer A ,[M+CH3COO]-,LJFKFKIYUJNFPZ-ZLFSCUDPSA-N,894.6251,5.932,43318,33597,37244,49736,51746,40946,40311,39116,33415,34579,37268,57757,51882,31774,32381,33161,45129,46151,42800,47657,45836,46657,59147,44112,54892,54233,47391,38944,47905,60049,53082,50923,48626,56751,43872,40579,43060,41470,40911,35107,36078,43344,38036,37095,35474,38657,39288,39659,40460,45176,41591,44945,42129,40501,38346,38381,40570,38794,38936,40180,40162,46361,45896,44950,44312,43600,42761,43415
6.17_894.62,PC 40:5 Isomer B ,[M+CH3COO]-,LJFKFKIYUJNFPZ-ZLFSCUDPSA-N,894.6249,6.171,51416,33753,43093,53149,45901,42742,44316,39554,37461,31808,44592,55871,55378,33563,44662,39476,37189,55361,40529,46462,45669,42178,61699,46970,53653,56417,46720,35943,44291,58638,56000,56407,50074,60751,48979,40462,38806,42158,38609,34579,31332,45144,40080,38152,34826,39944,39976,33012,46983,50805,48757,46770,50659,47733,25076,25053,25218,24922,26587,26112,26417,49220,48168,47325,46060,46110,45920,46023
5.41_892.60,PC 40:6 Isomer A ,[M+CH3COO]-,FYVNIFOYDIIODX-KNKJIUSSSA-N,892.6045,5.407,7375,10038,8156,12817,17521,12566,9538,12027,12272,10017,9609,18022,8871,7449,6120,6464,6964,8660,11319,11557,9699,9876,10625,8249,12274,13347,10986,8756,9665,11436,8999,7366,7095,8111,6113,5826,9533,10094,11643,9627,8079,13145,10150,9968,8701,11105,9863,9893,7821,7511,7014,6976,6739,6620,2813,2607,2819,2828,2900,3080,3089,10458,10272,10010,9000,9488,9068,8760
5.71_892.61,PC 40:6 Isomer B ,[M+CH3COO]-,FYVNIFOYDIIODX-KNKJIUSSSA-N,892.6089,5.712,620934,326635,510763,534459,453313,411177,574877,380846,307356,365443,470433,487411,729442,473415,484707,472703,541482,616858,372075,438554,385768,457960,608127,466926,523383,516252,437619,375025,429992,533931,647180,573801,543981,636123,474983,445614,440299,428211,403017,306787,296540,386729,382587,305036,361796,372521,370383,373164,500789,537382,601080,579984,536637,576942,151331,150189,154283,151681,162119,157903,156643,507539,504771,498428,482495,476731,471554,473841
5.55_892.61,PC 40:6|PC 18:1_22:5,[M+CH3COO]-,LQILTFYUCKNMSR-RAGHUBLNNA-N,892.6091,5.553,69288,77773,64791,109783,126522,80050,73165,86535,96492,66788,71681,129375,82375,56862,58243,57492,59053,86868,100684,98329,100092,100989,109087,80393,133900,106785,102403,82285,105520,119572,99419,91640,85399,83934,77676,64276,78471,88670,103455,81170,73643,105885,73392,85538,71091,93167,90961,84825,66323,73433,77352,63606,78207,67516,2967,3266,3222,3177,3266,3304,3415,95195,93902,89699,86165,88897,87959,86810
5.11_890.59,PC 40:7 ,[M+CH3COO]-,BPUROMFCPFGBOT-ZEGPSQTJSA-N,890.5935,5.113,854614,721084,738564,946971,1083158,732739,794888,721034,737539,658644,707544,1087891,701430,835653,758271,692970,535889,1042344,738859,790805,762363,864621,1052954,768837,1090619,765733,746381,719147,850075,955439,911341,915826,918187,795722,749965,682606,817992,735150,943401,660385,699784,819308,699016,590863,654135,767611,813130,883538,662169,717805,970760,788052,797056,764948,11438,11794,11813,10635,10532,10001,10608,845897,857666,849383,843899,854350,828634,847529
4.64_888.58,PC 40:8 ,[M+CH3COO]-,BFCSBEFTXQRIOJ-IMYLGOOQSA-N,888.5773,4.641,465269,228545,492929,383605,402046,268152,556746,371795,313478,404752,435982,331435,815981,451427,499070,424697,356590,432592,340759,284023,312576,488438,376041,494704,422893,398135,378539,473724,374849,382526,692888,560426,665755,456469,410132,504163,511237,541531,550672,366466,369448,486305,440755,331097,509597,466013,520668,466804,525928,641038,642909,665547,542770,532543,10398,9897,10440,10172,9810,10330,10347,492895,488124,466860,457758,453886,439807,453919
4.26_886.56,PC 40:9|PC 18:3_22:6,[M+CH3COO]-,KQEBTLYBLYIGCO-HRBUQVTHNA-N,886.5615,4.262,510758,388792,352588,333676,398004,427003,518023,329870,270739,372457,372170,300267,709888,377750,352858,392650,437546,292054,229201,170634,161316,271269,149222,218193,196783,201813,214788,177125,211730,227516,427471,387461,273180,255546,299784,353974,227602,183866,228179,198685,176240,227203,219171,176806,169186,188572,218143,288922,291431,318925,333285,479180,322468,337141,1290,983,1074,981,1171,436,1564,345114,332558,325208,315893,322210,306969,315459
8.20_916.70,PC 41:1|PC 24:0_17:1,[M+CH3COO]-,UFFKUUNPYNKUQQ-VZCXRCSSNA-N,916.7024,8.2,8185,7030,9242,8680,4010,5516,8817,6356,8881,7110,7227,4391,10434,5268,8754,6531,7171,10554,3719,5269,12121,5657,7935,24208,3900,6673,6693,8339,5283,5895,4891,7489,13469,18896,14734,8938,5985,12218,6738,10537,17327,16547,9853,6294,15644,12252,7175,6040,18516,17749,14789,5646,17149,6043,528,837,510,838,786,854,248,9599,10016,10052,9845,9656,9840,9574
7.53_914.69,PC 41:2|PC 17:1_24:1,[M+CH3COO]-,VCJFWKCGVACEJY-WWFGDGOQNA-N,914.6866,7.534,3555,3594,4021,4167,2071,3028,3610,3514,4204,3382,3215,2851,4785,2465,3990,2841,3748,4550,1625,2406,5918,2483,3521,13071,1924,3668,3085,4882,2379,2851,1821,2887,5028,8646,6291,3676,2707,5995,3268,5007,9238,8538,5176,3198,8646,5515,3192,2864,8817,7094,6455,2311,6813,2818,519,437,270,423,446,565,201,4694,4596,4516,4243,4452,4153,4337
5.33_906.62,PC 41:6,[M+CH3COO]-,MCBZZOAHAMROOU-DSFOIJQZNA-N,906.6246,5.335,21431,59607,12465,63403,49586,57308,13670,45523,38528,46485,37882,68890,28249,32474,16639,30448,27554,69082,64863,77922,80040,31756,58707,37085,66195,77334,54561,41236,53683,59316,44023,38183,29180,51077,61263,29901,33279,31860,38019,40343,43693,50654,38985,39808,26631,40342,34329,35202,25084,20820,23967,11928,36323,25343,124,4,87,68,75,70,51,46243,45166,45476,42519,43114,43347,41051
6.05_906.62,PC 41:6,[M+CH3COO]-,JNDTYZZVVLOXOS-BWSFNMKGNA-N,906.6233,6.052,10791,5788,11078,10407,10185,9450,17145,9759,7846,7695,10222,13152,15073,9222,9322,7081,10888,10888,4170,4197,4477,6262,5998,10607,4537,6685,4735,8552,4336,6006,8097,6246,9040,8038,4930,5838,8223,8043,7170,4561,4922,7155,7205,5046,6070,5112,6257,5262,7393,9297,8417,9446,7630,8009,590,582,530,742,397,591,231,8243,8422,8395,8157,8185,7827,7974
5.61_904.62,PC 41:7,[M+CH3COO]-,MOZVGHCUWNOTHQ-YOUVBADSNA-N,904.6202,5.605,24780,27660,30216,28175,11797,16360,24537,26476,26874,17821,22326,12717,70208,19631,31365,20127,59413,29244,13354,14790,37583,13929,13628,33388,12100,31343,29437,66079,11629,27780,16711,40360,29330,37863,36707,35057,14801,23964,12076,23476,27912,12603,12864,19239,19327,20251,14525,16791,34468,21787,42965,20022,21124,27500,3231,3539,3654,3348,2539,3590,3770,24188,24599,24546,26193,27180,27495,26334
8.50_930.72,PC 42:1|PC 24:0_18:1,[M+CH3COO]-,RPFJUYGHQKYVGN-HFTWOUSFNA-N,930.7187,8.5,132708,98964,129493,96862,58652,65498,107242,79680,105394,107110,93521,67243,91641,74154,119160,94374,60516,134174,54025,64632,111518,69964,49733,126434,56259,100069,104284,160744,62881,86564,67123,123314,132145,141405,150866,126290,54260,89003,48546,118421,142700,57388,57401,58259,110604,112583,61703,78162,170793,108688,121324,70308,122092,83314,1301,1658,1375,1800,2216,2255,1508,105910,102553,103210,102185,104785,101575,104395
4.53_912.58,PC 42:10|PC 20:4_22:6,[M+CH3COO]-,NCCFWEYCQVRLBU-QIKGRQGGNA-N,912.5776,4.528,158402,135536,116295,176730,200114,163796,161645,181250,115847,257049,187738,158945,197947,139730,209248,165290,166082,182613,111123,116065,99660,94172,115558,106002,115040,123793,130812,117011,95615,127130,156947,159411,132945,103324,133841,132628,182022,140301,144956,122400,138969,168772,143399,131493,132429,137705,163206,175509,165486,216181,171074,205020,197071,273840,3042,2964,3133,3021,3214,3065,2965,173558,168764,167247,159394,159559,156330,155462
4.17_910.56,PC 42:11|PC 20:5_22:6,[M+CH3COO]-,PRAHGYJIPXTSPA-XQSFYUSANA-N,910.562,4.169,534087,375325,455079,480595,525262,427541,556760,495321,325946,653061,557663,425398,520362,490403,599749,512416,434343,479570,307701,303947,241401,293713,314152,282770,315779,343245,332319,344884,263138,325956,515042,495214,469040,299483,381068,489852,605636,394183,424715,336124,397771,442660,389453,333382,425710,385250,429648,584470,538941,715155,544306,762222,638216,906319,549,309,209,562,418,248,714,510626,513805,488464,481987,477215,469640,470844
7.84_928.70,PC 42:2|PC 18:1_24:1,[M+CH3COO]-,YKGOAHUQOKSYEX-XWNIBSQQNA-N,928.7026,7.841,80233,75112,93903,81472,33992,45915,65291,59921,77736,71877,73981,41532,66317,49856,93684,62046,36390,105255,21607,28226,66289,26388,23977,74698,24959,53765,51797,106874,29580,44512,29598,61262,67464,78427,81974,60276,27642,53036,25963,67379,96495,34058,32099,30308,69435,69087,31867,35819,95886,66004,71463,35450,68192,46302,297,9,415,814,12,696,555,60504,62954,61410,60806,61406,60749,60446
8.02_928.70,PC 42:2|PC 24:0_18:2,[M+CH3COO]-,IIGQXTIUKKRHCT-KVIQUQEHNA-N,928.7029,8.018,23906,13439,27792,19704,8403,8810,21012,16736,20788,16222,19410,10465,20442,14877,19597,17161,13067,23147,7232,10132,20911,16302,11146,35697,10181,19563,17496,36334,11833,15032,13890,20015,30766,28478,25896,23983,13401,26685,11864,25081,36369,19073,16292,12529,35415,26884,15238,14220,38890,27786,28221,14849,28306,15808,1394,1470,930,1048,1227,1034,5,20840,21143,20644,20373,21134,20291,20855
7.58_926.69,PC 42:3|PC 24:0_18:3,[M+CH3COO]-,YOYSYILHJAYGQE-SCCYAJSFNA-N,926.6858,7.58,2522,1656,2477,2077,806,2091,2711,1316,2302,1495,1938,1276,3654,988,1789,2026,2685,655,1062,1193,2401,890,876,5770,871,2352,1410,2542,825,1142,1764,2554,12,1946,3323,3788,462,13,636,1086,4256,16,11,1138,11,12,1165,906,6372,1264,2472,2141,1504,2485,293,9,167,406,223,377,365,858,2056,1306,830,1686,10,10
7.32_926.69,PC 42:3|PC 24:1_18:2,[M+CH3COO]-,KQQJMFXGDYZEAL-XWJWVPNHNA-N,926.6873,7.324,14537,11021,19565,16168,6401,8143,14160,13336,16501,12916,15335,8163,13018,9798,15642,10511,8713,16456,3037,5211,13468,7155,4245,21236,5467,11671,10200,25028,2014,8776,6876,10088,16752,15192,14201,11587,7799,14385,7261,13762,23983,16,8555,7468,22210,16469,8972,7534,22019,16933,18023,8158,16335,9477,534,456,679,495,1274,589,549,13492,13649,13011,12795,13475,13446,13086
6.40_920.64,PC 42:6|PC 20:0_22:6,[M+CH3COO]-,WAFWSBFKIPCFOF-ZOHKZEOUNA-N,920.6398,6.396,17466,11282,15692,19615,16949,16043,23477,15719,16930,11315,14960,24372,22922,14612,10814,10783,19122,18147,8932,8690,10900,11496,10977,19423,8601,11974,11593,15472,8510,11857,14190,12081,14450,17703,13817,13185,14047,13448,12542,9706,14272,10811,10698,10148,13538,11488,12343,12950,13496,14039,15400,12940,15321,12906,348,9,729,10,12,689,559,14898,14603,14984,14482,14658,14419,14412
6.16_920.64,PC 42:6|PC 20:1_22:5,[M+CH3COO]-,PMEGQTAPMLGFBO-WAFBCBLINA-N,920.6367,6.156,7134,9796,13821,15372,13330,9348,10607,10959,13512,9244,10598,16457,4718,7657,6794,7196,6310,15249,6562,7655,10414,9549,9296,16596,8562,10272,10351,9123,7767,10543,8405,9437,22727,13913,14287,8157,10283,11949,10592,9925,17662,10575,7906,8937,16219,14251,10619,9160,13228,19360,12154,5344,18862,6891,287,460,443,231,244,692,588,10888,11743,10970,10787,10788,10647,10654
5.74_918.62,PC 42:7|PC 20:1_22:6,[M+CH3COO]-,FYVDGOCCFDKYOR-GXLBXUGMNA-N,918.6248,5.735,57455,46600,67421,84726,97774,58609,93958,73719,74180,52768,59967,122381,73339,58724,43231,37944,49325,65782,32245,28654,31811,39660,35541,60500,32706,40109,32577,62392,28680,43660,41179,32395,40114,29302,25695,30141,52183,50115,53128,33846,44669,44350,39945,37922,45169,38770,44706,48745,33632,38003,41774,40507,32958,39358,1006,976,1141,1011,1020,991,1044,57584,54845,54651,51900,52945,51251,51868
5.21_916.61,PC 42:8|PC 20:2_22:6,[M+CH3COO]-,YBAVZMWJCPETFA-YJENULLPNA-N,916.6085,5.207,26080,26147,23876,38122,56373,35176,34026,38407,37026,32296,30703,59482,40494,25188,21735,17238,29228,28033,18909,17187,16959,19239,16364,22434,19642,21611,18084,23892,17193,23406,22878,19252,17659,16867,13944,15809,20383,19547,21222,14214,16459,20575,19059,17647,17279,17068,19173,19848,17652,18613,19823,20673,16624,20275,1022,1265,1145,695,1366,1105,759,27580,26524,26047,25073,24813,24495,24924
4.78_914.59,PC 42:9|PC 20:3_22:6,[M+CH3COO]-,UOHAUYMPRRFULX-WJAHOPGDNA-N,914.5907,4.778,45204,42143,37897,49127,67529,50372,54770,45790,39217,51266,44286,60037,62705,41923,39633,37660,51548,43388,33608,26757,24789,32780,27283,30747,31564,33861,31470,29244,29703,37294,40625,36592,29256,29845,25367,30650,28205,26538,29913,23898,25246,28741,27828,25524,26948,25287,32257,36133,33428,32680,32538,43000,32968,33897,393,832,799,704,888,855,981,38295,40682,39344,39346,38943,38404,38407
8.79_944.73,PC 43:1|PC 25:0_18:1,[M+CH3COO]-,YODDLEUQZYIACW-ANYBSYGZNA-N,944.734,8.792,15126,11988,15409,15362,6199,9108,12106,10601,15201,11438,10809,7251,13127,9384,17242,10264,8397,18217,5302,9675,20003,8449,13943,34863,6120,11407,10969,12578,7890,11117,7500,12502,20910,30525,21861,15707,8735,20593,10239,14657,25906,22737,14782,9188,22767,18200,12249,9565,26945,23161,23513,8031,21700,9947,437,203,275,419,493,496,807,16032,15507,15473,14454,14551,15428,14772
8.15_942.72,PC 43:2|PC 17:1_26:1,[M+CH3COO]-,SZJYBKPQDLZGRP-WWFGDGOQNA-N,942.7182,8.151,7646,9104,7759,11013,3905,5382,6134,6184,8978,6746,6554,4627,9126,5204,8548,6009,5374,12001,3183,9410,28170,6564,21951,61782,3861,8355,8053,8391,8186,9344,3940,6366,18810,44892,26846,9915,9767,29393,14873,18949,35918,46911,25253,11092,38173,23785,13734,7877,35857,31238,31148,4216,28978,7839,521,9,234,413,517,371,448,16788,15275,16077,15063,15724,15942,15086
9.07_958.75,PC 44:1|PC 26:0_18:1,[M+CH3COO]-,QYSJKJRONZHWQS-OFWBYEQRNA-N,958.7499,9.074,86845,65932,79325,74509,40344,39834,57357,52201,71971,68005,57618,38535,57841,45472,92467,58413,38165,97780,43044,51360,93132,49533,37047,114730,41533,76690,81279,126803,45799,74458,50881,103701,107964,108298,118156,105747,32782,61378,28014,78400,97649,37466,36281,34841,67741,74177,36711,48078,116319,65681,86269,41546,76852,55254,3390,3431,1558,3602,4051,4974,1351,73494,71188,73116,69493,72787,71794,70583
4.96_940.61,PC 44:10|PC 22:5_22:5,[M+CH3COO]-,XAFPNZQFSGKDDB-IYICPNJGNA-N,940.608,4.964,18353,20045,16985,29978,32717,20072,20846,22575,16656,26066,23331,29204,20977,17598,18349,15784,18291,24548,11585,11423,13178,12617,14636,13872,13398,15150,12805,13453,10531,16514,18372,17066,15148,12556,13277,12937,17380,14173,17137,10871,13229,17567,13354,12455,13422,13652,15580,14810,12607,14544,13082,13488,14584,16710,542,89,408,338,724,482,690,19077,19758,18169,17708,17620,16779,17442
4.57_938.59,PC 44:11|PC 22:5_22:6,[M+CH3COO]-,LIYXTHCSSCAYRI-QRFKBRFNNA-N,938.5931,4.569,138534,111891,120011,164897,166498,113176,144156,117063,76454,155019,142912,141238,125349,127858,120713,113258,114609,146039,72483,73489,71340,78592,89770,79072,87401,83316,76491,75116,64637,99842,124542,120414,108329,78816,92254,92315,105704,77859,95375,59630,78970,87543,69718,57092,80990,75797,86150,102601,81467,96743,94014,110130,95445,127259,417,153,419,339,239,450,378,119830,118327,113785,109789,110095,106332,109335
4.38_936.58,PC 44:12|PC 22:6_22:6,[M+CH3COO]-,XLKQWAMTMYIQMG-MYZZJVRYNA-N,936.5775,4.38,867498,413514,674467,641889,521854,470553,955640,530019,272689,881399,811167,465770,951120,757142,1135175,799624,722705,733114,152329,166388,132794,171886,185749,238372,165116,208857,189926,243296,130063,215124,441714,418232,387583,261039,331770,355346,334928,219102,205753,141778,217708,195375,190412,138070,250206,202251,213694,281485,448822,533807,526408,621665,486724,737406,516,770,760,590,993,763,982,539606,512354,500891,485005,482151,469687,469285
8.44_956.73,PC 44:2|PC 18:1_26:1,[M+CH3COO]-,AXMQADGFCPKIIJ-MWYSPWRKNA-N,956.7344,8.443,65916,69937,78598,80489,29728,35014,45929,50248,67546,61367,58796,30153,61714,42458,86152,48638,30331,96196,20774,28829,72769,28299,27533,89759,24835,53231,51739,102023,30265,50055,27883,63521,75798,85756,90054,61937,24635,54323,23567,58736,89700,36582,31184,27136,60082,62068,29493,31312,94961,61673,74034,29915,65309,41978,11,10,489,614,827,13,526,58048,59008,59236,58657,59077,58638,59461
