,,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,MtdBlank001,MtdBlank002,MtdBlank003,MtdBlank004,MtdBlank005,MtdBlank006,MtdBlank007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
10.08_170.83,,,,170.8329,ESI (-),10.083,67757,54102,53303,66995,66148,38631,18021,9580,43942,46597,3672,40223,9729,3164,64057,68643,58360,2674,15571,2170,68340,70664,48172,65216,50522,15297,69467,6653,65234,61160,11919,61633,65343,5341,2818,32965,58873,51009,53991,2415,59208,14988,31559,34384,2853,57212,68690,46619,57576,28175,2538,3718,16794,3221,1818,33432,28291,28972,12104,1600,1467,2149,38794,26796,21280,5438,1721,1533,3327,42342,64226,69010,22336,2499,2369
8.62_777.59,,,,777.5928,ESI (-),8.619,48508,46042,29950,40469,32879,23290,23406,27186,24850,57035,45229,54360,39558,53187,38564,61952,35617,51749,55003,41710,36727,35545,37975,30364,29915,43337,55627,16690,36750,30601,54736,26739,31903,51604,35235,18683,28480,19804,22517,49075,29855,30179,16961,34098,46272,25054,36310,26631,32375,43309,41308,46355,36029,58760,74685,35961,32122,52075,56360,64028,64574,17015,7098,9186,9763,10772,12773,14434,54603,21997,33475,35579,42548,46755,45263
4.53_491.36,,,,491.3602,ESI (-),4.529,32006,41120,32837,35179,41193,32674,23249,36557,30716,38944,42852,37287,26978,38293,31800,32697,39237,39840,38228,38424,39224,42973,28070,38560,36201,37553,35206,21769,41008,38967,38045,41142,38900,45282,39158,32191,38986,40901,39138,38703,43448,39246,34368,39973,40208,40964,39744,31497,40120,44759,38891,44095,39192,43779,11166,3564,5018,6278,7926,8169,8099,9850,3741,4719,5274,5904,6737,6683,45329,28737,38927,39481,39421,37792,37806
4.66_786.51,,,,786.509,ESI (-),4.655,16991,35281,20817,21232,74135,26308,12217,22584,22799,48854,52928,83871,13451,89914,15403,17930,40227,84680,50395,58241,30196,28642,17422,19907,25666,43548,14701,7346,23882,40778,44352,32733,27765,51048,25849,22854,21727,13828,15635,45251,18445,31169,13497,19945,36073,19143,16316,18024,67602,45439,101701,123056,45945,100265,1336,813,1083,983,799,1014,1199,1239,894,719,639,866,743,689,46082,20050,24798,27026,36726,48055,46958
4.36_491.36,,,,491.36,ESI (-),4.364,38399,39120,37073,37600,39287,34319,36155,38439,34310,38173,42507,38369,22602,37964,38752,38029,35783,36452,36809,36058,39584,41534,30980,38108,35264,36792,39480,18329,39450,37211,35623,36996,37347,42181,44911,37776,39611,38618,38434,35384,42878,35939,33584,37716,35889,38984,39482,32882,39889,43138,35436,44308,36839,40405,9600,3181,4947,5892,6962,8053,8278,8956,3193,4307,4136,5933,6086,6733,42093,31791,38835,38137,37289,35053,35307
5.86_804.58,,,,804.5781,ESI (-),5.861,21045,31313,25060,32574,74800,24999,14107,22766,26782,31078,30270,39816,11.23,42799,7546,25935,27586,42344,49563,50687,43209,36743,38795,34840,43170,42646,41281,17623,47534,48715,35298,34421,32172,37062,27455,25963,46483,45194,43911,50779,46842,47180,42646,42696,52940,50957,47069,37244,40596,42737,45529,39278,37316,46781,26700,14364,10856,19401,21780,27306,25440,923,289,295,162,294,253,223,43715,35610,38951,39490,40562,42953,42043
11.20_377.27,,,,377.2737,ESI (-),11.204,33759,34357,19411,30280,20932,15729,27893,26558,16828,45993,42623,36130,30519,45387,18913,40295,21994,45399,51979,44835,39911,35327,20960,23133,24031,46964,32142,22288,34082,42086,50588,23811,26244,66968,62854,15556,31409,32446,32240,58416,28840,50799,21992,47559,54955,25402,38202,21993,39932,54366,61842,67152,50407,72743,65177,12419,18847,24111,38256,53496,55161,20090,5309,8339,9695,12800,16349,15942,73405,18400,30799,36724,44851,63546,46748
3.66_880.51,,,,880.5069,ESI (-),3.659,19389,28734,19194,26255,123389,33829,10191,19519,17320,29581,34353,49337,7174,47091,15734,11411,33686,43041,56574,28501,38826,34178,14840,56896,42409,32095,7976,7538,31898,41004,51300,37981,33871,46362,20735,25418,88748,32966,35403,46451,34307,32099,29753,41033,45343,44008,34230,45279,55293,41983,63337,55553,35655,63980,7.58,7.58,88,204,7.58,116,7.58,259,76,112,7.58,7.58,96,91,36787,31122,33407,35903,36422,41452,39392
4.22_611.41,,,,611.4102,ESI (-),4.224,12440,9428,21780,32801,20537,6827,61288,67170,14851,45611,32518,46908,2270,7685,6525,4578,3413,8170,90374,68061,146652,59438,307250,79196,28985,45283,157322,36256,27853,106861,17915,5342,11045,13632,6224,4242,22848,26827,26213,21779,30383,39297,30680,28980,56595,20048,30855,9273,4485,7761,9269,5171,7601,6199,5239,1386,1233,3536,4295,5515,4955,846,925,499,439,469,1019,414,63520,21665,33744,38899,56143,67620,66818
2.43_582.38,,,,582.3787,ESI (-),2.427,34625,26725,44644,24873,40123,25763,15134,19309,13819,50581,23713,31699,15028,25983,20544,18529,23284,70259,72166,71025,85193,27973,174827,30581,31001,35581,47427,10008,46652,43089,35846,31573,23870,35084,13126,17024,33428,33334,26395,27128,23925,33302,39169,31178,74867,42799,40824,31198,18167,53884,61859,25097,27126,16471,609391,479173,258759,495329,534752,592794,599647,408,376,584,321,424,533,591,35159,36017,37340,37426,34844,39348,36846
5.82_763.55,,,,763.5493,ESI (-),5.82,6875,18912,9384,19557,53192,22575,9003,35667,35403,30787,37006,114291,10293,68200,5107,6114,30798,45902,35326,32515,16479,22333,6517,30898,20354,40197,9264,16249,16079,25416,66392,29481,28783,27139,20847,19522,34606,21308,19346,50930,33636,47768,19722,37693,48722,31294,24308,18964,79002,92600,129612,91941,68279,123901,4.96,4.96,141,4.96,4.96,4.96,4.96,147,102,132,4.96,50,148,4.96,44089,16316,24805,29442,37793,46157,45003
4.17_168.97,,,,168.9726,ESI (-),4.174,34756,5729,86530,46332,77134,116951,2427,1655,77587,5673,419,4961,1012,687,55457,14604,104375,545,1976,446,11059,3555,207597,46586,138672,1878,43905,1880,46083,8967,1647,51717,23815,636,704,73667,76183,38303,79161,574,23117,2078,155662,3610,964,78577,18541,197741,8835,2154,586,571,1997,352,782,61082,40607,26039,2952,571,588,643,58309,39834,27503,3266,707,457,388,210481,69298,29169,2636,698,570
6.29_675.51,,,,675.5131,ESI (-),6.292,58959,34021,33128,48280,27631,23714,2273,616,4470,10966,3898,19473,5917,6065,2556,34850,26491,29220,181399,155978,105440,25473,83399,17156,69293,59509,75920,645,117303,48063,24275,19044,17367,22034,9608,11609,49609,15633,18666,35878,16905,24888,36591,21385,71822,34972,27364,81947,27194,20048,18465,28302,20923,23009,1154,1580,1163,1533,1369,1308,592,27,89,87,2.74,126,228,2.74,37365,37360,39137,38312,37961,42217,40711
5.77_393.29,,,,393.2856,ESI (-),5.771,40891,23139,68711,45009,43443,102808,22150,19625,80180,23015,21577,21417,25358,18689,51032,30230,55222,18428,19756,18982,27637,25760,134690,43066,75638,20006,54241,17691,38868,22967,17815,36761,31451,20193,21799,57692,38016,35729,45259,18531,28946,18944,83761,20875,18721,41550,27229,95521,22082,20203,16652,19312,19349,19604,18856,71567,32414,28391,17724,17264,16049,17815,38630,27476,23232,16904,16005,15357,20737,110361,44839,31490,20460,18800,17967
5.04_836.54,,,,836.5429,ESI (-),5.041,15951,35900,29486,37333,56498,30700,12093,25638,22388,44140,18486,47505,6068,49907,19064,22505,39557,46464,35614,40741,38614,28054,161097,38243,57425,38050,19202,1730,44749,25306,19145,39925,42868,36347,11497,28352,41213,37425,37225,37071,44777,26516,32782,39613,13777,43350,25348,40650,61712,50190,36391,48204,34081,68266,494,216,436,568,477,489,409,462,404,589,76,426,277,228,19046,43369,42335,38252,31841,25766,25013
7.74_652.59,,,,652.5906,ESI (-),7.737,36005,26636,33608,43033,38027,33283,20849,24209,32099,33034,50987,36717,16090,40954,29076,19695,30580,52413,97622,68658,64047,75524,68277,83429,57395,69120,42567,10347,52735,77179,60124,48959,40170,43703,18247,18094,31809,18538,15644,15200,22158,21803,13703,11640,25290,23469,18730,11418,18443,28599,32012,25383,24543,19209,81.88,81.88,81.88,81.88,81.88,81.88,81.88,81.88,81.88,81.88,81.88,81.88,81.88,81.88,53779,46277,57327,56095,55443,58629,57606
3.20_503.29,,,,503.2948,ESI (-),3.198,18707,10327,136966,96033,11578,26499,206482,41856,126614,34468,38886,21627,388652,28485,96067,485769,10441,6534,3230,3660,3162,45860,21034,7567,5627,24768,34216,679,5005,1274,1479,1199,1376,2829,1553,1397,910,841,1468,480,300,603,2216,741,532,1092,865,3043,439,474,684,578,470,744,367,2070,1065,581,481,449,429,592,1694,850,572,612,689,741,45572,27887,30947,32143,39085,48402,47302
4.50_824.55,,,,824.5454,ESI (-),4.505,27928,38141,29263,43194,35573,50567,18596,31971,68920,32990,54909,74989,21481,73965,25456,18476,39123,49808,38765,40794,35685,33088,35147,33832,33544,35437,27116,15910,34132,38459,31369,31005,35690,30555,21555,21966,52672,29558,35481,36998,38236,46310,40589,24934,26067,36253,33125,27343,38751,38033,37608,45873,37083,32419,1095,990,452,899,932,1243,967,9.28,148,9.28,117,9.28,93,9.28,37966,35060,35067,35958,35943,40427,38731
5.22_851.60,,,,851.601,ESI (-),5.225,7801,11205,13969,22094,22677,14521,7871,15603,17160,10462,20847,33188,4830,31697,6985,11552,11927,39545,42051,40694,48933,28431,41097,28031,28012,36750,32530,10861,45166,33199,34953,39927,46179,38846,28257,22962,61602,65709,53507,55191,67457,68177,73902,51938,65467,57423,63072,45238,40445,56350,62726,39163,52691,54856,1171,481,467,1108,1059,1090,1008,8.71,108,90,91,107,126,151,37224,35720,37686,36395,35678,38097,37424
6.71_795.59,,,,795.5903,ESI (-),6.714,22975,35754,25352,26284,37415,40845,30347,42031,45555,37174,56211,46589,31435,82295,20824,26178,37315,76437,33499,37096,29277,35992,22184,28574,25617,35696,24008,21968,27666,34364,47943,36673,31841,48266,42036,30039,26601,27641,27044,40330,32184,38657,23690,33258,36377,27390,28309,20852,43776,39849,48086,56274,43795,56501,21377,8153,7721,10516,17396,30874,18815,10408,5359,5762,5998,7515,8570,8730,42344,27096,31109,32806,39048,43006,42663
2.98_415.31,,,,415.3078,ESI (-),2.981,22163,18794,24181,27413,20280,20069,21077,21029,21797,27542,21533,24242,21287,26349,22124,21078,19162,23844,35216,56519,43043,22574,44841,23807,30657,27699,32767,24121,113254,33144,29628,32335,59226,26649,26457,25876,116086,25692,27770,26959,24735,29314,286075,28701,37534,27889,25940,41817,22624,41618,31992,24790,29174,23496,57988,40773,27435,46080,46164,49115,51106,20016,18534,19545,18577,19262,22232,21768,38026,33382,34783,36082,33670,34537,36476
4.27_168.97,,,,168.9726,ESI (-),4.266,41111,5708,107241,44473,37236,205765,2172,1626,99680,5542,367,4571,1330,1166,47482,12257,99287,910,2329,758,10610,4292,186902,46096,159392,1883,42381,1841,45630,8283,1517,35901,17284,692,688,54731,59027,29505,66976,858,19522,2338,162080,2926,964,66058,15129,178952,6228,1897,998,246,2155,684,705,62190,40227,26652,2985,887,710,484,59252,39078,26417,3268,688,580,710,200966,55465,23842,2623,780,691
10.79_377.27,,,,377.2736,ESI (-),10.791,33949,30597,20148,28654,24149,15771,27005,27868,17311,44847,42171,39587,32987,58807,20180,38649,22740,49216,53857,43140,33002,29913,23160,24056,20279,44768,33840,23983,31377,38290,51122,22142,25442,71710,53670,16446,25371,24483,26469,63839,26051,42940,16734,38501,65595,27840,39247,20696,33147,52990,59217,57489,47331,72834,82024,14371,21000,36147,53758,68572,72810,20663,5276,8443,9088,12561,16390,17109,75872,16322,26356,33732,47253,65132,64535
5.48_958.62,,,,958.616,ESI (-),5.48,8454,12554,13659,28679,17989,17672,12233,26309,14685,16235,27234,30551,9115,52352,10442,18670,17788,41493,33487,37895,41555,28964,29776,32139,27380,37838,33247,26261,36542,29371,39697,41281,39458,37425,32234,26254,49184,65373,53305,53586,56822,56978,54092,59949,66906,52820,61069,39503,41790,53993,57436,37676,54263,52408,609,571,449,810,829,820,902,246,162,106,109,325,479,216,44570,36452,41481,42387,43382,48812,46341
8.06_686.59,,,,686.5867,ESI (-),8.063,41990,53176,20226,37792,34901,4096,29270,25442,30119,60417,15866,53179,19976,33638,52188,34535,48348,31338,23674,73120,64638,46295,39788,26075,41128,76291,41720,18385,36511,49181,56520,14442,36363,48784,29166,25647,33370,33047,26916,36711,35128,33723,22517,35989,26424,27698,26082,21248,33212,21083,40975,38738,34853,50357,5423,2267,1438,3446,4148,5082,5210,902,356,371,622,973,828,780,61772,31223,27069,14982,48364,56055,28099
5.95_926.61,,,,926.6132,ESI (-),5.95,19597,31823,24567,37746,44051,23812,16035,34001,23060,38426,35593,33279,9239,53885,16312,24069,28853,49186,41177,39537,33896,27593,23427,30394,32146,42581,26517,14974,32189,40541,41205,38699,32203,37014,29454,26830,41938,44090,40598,47463,44950,39870,35627,44759,48078,47359,46222,32314,49567,49345,52708,51781,44532,54811,9122,14453,6475,4187,4348,18952,18964,859,455,544,473,584,534,715,39853,31773,36759,37359,39066,43633,43430
4.82_967.55,,,,967.5533,ESI (-),4.817,68679,32127,64691,25683,70283,24206,69490,26847,19724,73849,57253,14629,63262,20541,64081,41193,66206,23035,26916,17628,25094,30606,20320,27632,25162,28071,72011,63297,25614,22202,25007,21287,20402,29120,33240,52474,18745,23723,19710,14604,26166,16963,19854,75533,31672,61043,20467,50626,22987,26771,21443,27576,25000,54062,26155,15369,10655,20285,24106,28306,28904,664,536,862,754,1593,1120,1972,61024,23355,64312,22543,27000,21256,17639
9.73_170.83,,,,170.8333,ESI (-),9.732,64619,64574,45044,58175,53597,30151,22789,13814,31067,66560,4082,61978,12053,4047,52464,69879,50177,2829,27300,3655,66656,72443,36658,52355,40108,28247,64956,6292,56968,61392,16349,51627,54633,6221,3176,29055,46408,37016,36924,2793,47938,27204,25090,48856,3249,45802,67337,36211,61734,40315,2635,4028,23300,4076,1606,38188,28257,24029,7327,1878,1474,1896,37209,27986,22175,6351,1554,1530,3885,32392,53264,63924,32286,3366,2787
8.93_759.62,,,,759.6181,ESI (-),8.928,39920,39901,32330,36460,33299,24525,25677,25300,24126,41773,36945,40271,40130,42421,32849,42073,33523,40941,42926,39109,35028,37307,33935,31858,30561,39165,41716,18030,36787,32608,42276,33884,31909,47809,39925,26456,34950,24990,28904,43421,32472,35931,23973,36760,45289,29844,36596,31729,39566,44377,41517,48633,38874,49443,14186,6069,6829,8534,11893,12010,12793,11645,5009,5839,6717,8068,9369,9667,46772,26151,34342,36455,40610,42549,41542
7.12_666.56,,,,666.5616,ESI (-),7.118,14452,43651,21179,36542,52444,28953,12640,42975,25883,60084,69191,94379,9176,74211,20557,17846,24742,101103,116448,132662,76312,54079,34919,44011,48881,116162,42704,11217,36800,50107,24858,17705,16286,23680,13042,8783,18381,14682,11817,21993,18041,25144,11306,13611,26747,15309,15574,10617,13125,17544,29023,17135,20892,17788,833,244,24.4,445,728,849,728,24.4,24.4,24.4,24.4,24.4,24.4,24.4,43325,19631,25371,29344,38541,46239,44339
10.02_170.83,,,,170.8328,ESI (-),10.017,67519,58045,47613,63282,66148,30792,18294,9744,34430,53192,3672,44342,8783,3376,54222,73385,52770,2714,18596,2112,66251,70664,43458,58522,45613,17868,69467,4907,62190,62788,12711,53864,58541,5362,2750,31422,52735,39100,44297,2415,50234,17359,27891,38666,3255,51943,70493,41540,58349,30882,2450,3559,18520,3081,1980,36230,28901,25999,7596,1600,1660,1892,35946,27666,21833,5416,1515,1448,3327,35921,57689,69391,25171,2828,2465
9.23_717.57,,,,717.5724,ESI (-),9.232,41781,40255,33559,38816,37480,24609,27911,26437,26190,44003,40663,43152,44233,45491,38082,42276,35869,40196,44144,35265,36306,34985,33579,37225,31692,41340,41860,14673,36160,31695,42402,29703,28516,47911,37287,15415,32549,20594,27003,44245,27197,30993,18537,39527,44594,34482,39210,31640,31611,47315,43311,40804,37533,50006,17343,5715,7285,8852,11230,12768,13509,15195,5587,6842,7570,9310,10611,10580,50133,26377,35769,39199,40983,45325,41618
5.11_765.53,,,,765.5309,ESI (-),5.111,4921,40291,15975,31416,42738,17757,24492,36462,19845,99882,58516,120540,4781,97102,4304,13225,38331,67828,67659,63988,19749,18922,10251,26409,23634,63038,10397,5701,25073,46191,36866,21590,12796,33496,9884,13595,69229,24538,28654,47158,35760,34538,10413,30395,48733,35392,22522,10157,50554,28479,49790,68401,29821,59190,9.75,9.75,9.75,9.75,9.75,9.75,9.75,318,176,98,105,232,294,244,38847,16367,23705,32177,33627,42646,46764
4.27_491.36,,,,491.3598,ESI (-),4.272,36212,39448,35513,37632,37417,34413,29310,34528,33997,36281,41527,31911,29361,36095,34865,34070,37385,35358,35578,35647,37663,41284,28903,38208,35552,35201,35337,13719,37867,35656,34117,37239,36725,42307,36126,29322,37568,35981,37417,34581,42741,36809,32059,34768,35676,37514,35627,29861,38943,41889,34213,42089,35479,42368,9336,3232,4502,6067,6991,7772,7882,9322,3120,4352,4834,5504,5813,5906,41953,29141,38425,38536,36608,35695,34339
6.70_816.61,,,,816.6144,ESI (-),6.704,23137,23158,23091,16728,25783,20918,9579,38827,24215,66894,50897,50319,6747,57916,20112,14516,34964,60850,76043,87496,53508,66956,48861,52553,38197,41089,32264,10944,48187,62565,33707,19118,25953,30089,13752,8875,28961,25003,28226,44900,38557,60259,21873,30552,50300,33629,30867,16394,26410,21651,36949,36371,31391,41639,1559,621,360,1049,728,1655,1473,204,245,9.49,9.49,99,97,9.49,46228,21187,27965,31932,40388,49356,49582
7.04_604.57,,,,604.569,ESI (-),7.04,29335,74736,42172,44918,65273,53047,5492,34876,47828,94870,58758,190230,3261,78082,14466,24185,31349,82785,73954,68923,51726,25928,47295,25406,49399,47442,40835,10280,50541,73900,22407,23259,12748,16717,10785,11805,21646,16037,17345,15398,20739,22455,18403,12417,14594,21913,17030,16346,8021,11929,16839,9521,12404,7394,9.1,9.1,9.1,9.1,95,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,34972,33078,36316,35781,32316,33900,35440
4.51_808.51,,,,808.514,ESI (-),4.515,8258,21828,11124,24117,41242,18086,8949,14474,24922,23204,17756,44250,7678,44354,13630,10618,19440,36300,32779,39282,25231,23775,32397,27409,45667,31475,23982,12801,41456,26526,24310,35224,54713,39939,23727,27949,57952,39902,50737,46189,54340,45614,37976,53516,44405,54256,41526,56405,60370,66686,69345,51332,57708,72277,8.78,8.78,8.78,232,151,120,171,96,331,224,198,594,172,390,36590,33361,35474,32341,34868,34712,35154
5.07_840.57,,,,840.567,ESI (-),5.065,24232,53560,7561,11.04,45891,64438,11.04,11.04,35487,11.04,38878,25423,11.04,49900,11.04,11.04,11.04,11.04,153697,145330,11.04,11.04,85205,45703,40475,11.04,25355,11.04,63478,148869,45809,23627,11.04,22526,60484,9279,28473,28488,66727,146271,35653,22718,51700,11.04,23459,6844,23540,67073,44979,66211,24919,36454,24503,11.04,740,11.04,11.04,756,704,4213,821,246,307,321,233,364,163,133,39924,75520,70362,24235,23451,38664,11.04
7.44_644.60,,,,644.6005,ESI (-),7.443,30630,75257,45217,46511,65825,50853,13327,39255,27550,161876,42052,124927,8132,85781,41239,43881,34202,78763,64638,55383,36923,18788,34416,22454,35413,70470,26693,8209,28979,27717,31239,31059,15624,23177,11278,14021,17767,16733,13535,16850,14247,14598,15811,15749,20290,16928,12402,18514,25460,22798,32059,20258,15849,30963,2803,2064,922,2044,2297,2459,2605,13.62,13.62,13.62,13.62,13.62,13.62,13.62,33596,32076,30983,31280,31632,32664,34548
10.93_170.83,,,,170.8333,ESI (-),10.934,70806,40197,60202,69611,65907,37871,10536,4721,43986,34541,2927,28076,6764,2529,66989,65372,62830,1925,9396,2244,58899,62487,53557,62926,56250,7881,72472,3684,72246,49698,7331,60187,65805,4263,2712,34650,55148,46207,55329,2095,57504,8848,33549,20122,2367,60992,69620,50543,45625,19418,2349,3173,10208,2537,2179,34306,27422,27453,7812,1637,1776,2062,37681,24766,18405,4259,1667,1476,2633,44771,68462,69901,13919,2174,2116
9.09_759.62,,,,759.619,ESI (-),9.087,42415,41922,35586,39276,34793,27993,27209,27880,29941,44933,39236,44014,42875,46635,36976,44079,36216,40569,43838,40413,34550,34995,36136,31580,29969,39966,42013,14401,36355,27978,44223,28233,25667,44389,32448,15154,29681,23309,25019,47224,30913,33503,18394,35232,45779,31338,38541,31485,30298,40061,37994,37210,35681,50977,19313,7393,8603,11197,14383,15944,16184,12706,5475,6712,6730,8390,9449,10364,49208,26042,35121,36353,41223,44304,45864
5.72_877.62,,,,877.6161,ESI (-),5.72,5986,11124,8832,19594,18938,14983,5966,16416,27497,16882,24932,49035,4473,46730,6129,8980,22081,51326,51805,57065,60424,40454,49469,42143,43762,44740,42305,18862,45212,47148,36949,33461,41388,31882,23194,19285,63385,43270,55185,45373,68606,61510,57471,39513,45473,49859,52802,38274,22576,28288,42227,24690,44801,30452,9.16,213,167,9.16,181,94,246,94,174,122,165,9.16,161,95,35834,33367,35159,35346,35552,37450,35294
3.17_295.26,,,,295.265,ESI (-),3.171,57788,47019,66014,48020,32167,47372,20721,26221,25312,60021,34902,68021,20978,60750,26850,33079,68534,48628,68466,67046,60451,28105,50385,41519,41841,41470,30326,9152,50026,28013,29851,25954,25998,22403,14323,21060,29334,12850,14584,16255,12524,13739,42618,13668,41802,19145,18351,59017,20010,32050,42439,28728,16171,19034,9833,7158,4742,7928,6604,8072,7745,2818,3311,4216,3140,2592,3572,3234,34179,35209,35609,34041,31416,34376,34551
11.23_333.26,,,,333.2641,ESI (-),11.229,39169,24708,50058,38766,39984,71073,19488,18992,60688,27033,21520,25882,19787,20676,42934,31993,47383,20360,27716,20735,27718,27027,95334,37028,57676,26203,50856,15645,39452,28305,26213,36040,31776,24287,22358,60019,44306,36766,46698,20553,40731,22860,70764,23349,19759,44308,29438,78513,24850,30788,19195,21267,26513,22754,24653,73138,46681,33521,28888,23725,22314,9537,42142,25421,19262,11384,8542,8896,22473,83379,41502,32901,24252,21754,18864
5.92_762.55,,,,762.5461,ESI (-),5.923,5368,15866,7273,14874,72408,14274,4158,18171,19033,25208,27569,85237,4768,62988,4357,5473,22281,57834,59988,58662,31616,26496,10756,19905,21691,47207,14663,9860,27108,47067,50340,21579,25552,33273,17028,9267,38046,25323,23034,63407,42377,70866,19262,49214,59994,35602,37810,15708,58261,61357,88178,61873,63538,81503,1881,497,376,517,1123,1545,1514,105,113,8.93,8.93,158,99,8.93,44830,13182,21009,25933,38658,48644,48048
6.88_638.53,,,,638.5306,ESI (-),6.877,13681,21832,14029,31401,21772,10483,6716,22309,11752,30036,39428,30631,4824,85652,11638,14934,22210,126066,116163,137693,95189,52976,61061,40361,46259,119763,63096,10395,53135,61679,60241,40369,41935,54975,31512,17230,11107,18362,9452,11844,20900,13547,12662,9786,22738,10568,10224,11530,15923,15003,27522,19218,14857,14964,8.79,163,8.79,8.79,88,8.79,237,8.79,8.79,8.79,8.79,97,8.79,8.79,45676,19170,27327,30157,40441,46049,47062
5.08_888.58,,,,888.5755,ESI (-),5.077,73803,39626,56309,27757,33099,24016,26070,17426,11142,38769,22964,38201,13199,38083,37040,29759,51819,34552,45555,50432,38075,25572,32422,31875,30122,39324,23828,6517,37240,45386,26278,19312,27129,27344,10576,12351,48964,47911,40972,33472,60145,51202,33849,40440,51063,61226,48695,19724,40293,36727,34254,32040,35016,32319,40515,4596,2079,4112,26686,36327,9374,9.8,194,185,118,9.8,106,98,37198,23307,33877,35446,35197,33194,29141
4.64_970.58,,,,970.5795,ESI (-),4.641,27140,24779,36588,33109,34124,27836,30749,36050,19148,55373,48566,43768,24392,47691,39282,35751,41886,39482,32706,39458,37160,30648,30578,37437,29731,34848,22639,22263,27177,36019,31575,26118,27925,33738,16196,17884,47445,38823,34624,37719,35642,39006,30228,33323,56003,38311,35001,25472,43319,38886,48897,47506,35924,44891,984,571,348,757,889,914,864,8.84,164,8.84,94,263,225,8.84,38551,29744,33543,35267,36741,40728,41692
10.44_377.27,,,,377.2732,ESI (-),10.444,33616,35134,21141,28557,24350,16399,27898,26162,18034,44551,43545,43150,34767,61020,22761,39832,24322,48951,50980,39933,32195,30700,23579,23857,20846,43015,33196,24140,30807,29303,49323,22788,24417,73997,54457,17083,21031,21652,19704,67357,21238,28473,14577,29871,65664,23216,35327,20411,28201,46608,54765,48104,42408,71633,45797,10066,15444,20915,26559,34155,37287,19373,5364,7725,8337,12239,15552,15648,73765,16367,25493,30240,42738,62278,64711
2.27_279.23,,,,279.2336,ESI (-),2.265,32198,27584,39293,34045,23267,24853,21867,28631,26748,39568,28321,44207,21024,33224,26332,25753,41197,37144,43485,40215,38997,24308,44743,35323,29999,33349,29914,27360,54467,45848,49622,45168,31130,38069,27639,26703,51954,30115,30998,25334,28448,29594,64819,23030,55741,35921,35753,57680,25147,38736,39998,27903,27791,27505,45305,35119,22392,39502,36568,38344,40089,9177,12168,15318,12918,9770,11026,11142,34612,34793,33133,31914,32396,34283,34305
10.78_244.07,,,,244.0651,ESI (-),10.778,40972,23989,16048,29534,18608,12359,16500,17314,12139,51044,29652,32617,21494,42394,15177,67132,17818,32304,87537,26817,29782,24639,33568,19223,18352,36935,69037,14513,33698,37918,77546,16638,19868,82157,39759,11874,22448,19362,22867,75543,19928,37485,13647,33576,70244,27845,52388,16590,28107,60766,43767,41610,45555,65146,74495,12980,15546,31839,48882,57038,62751,16889,6909,8737,9387,10503,11167,11115,72560,13962,24578,31493,42649,57442,59750
6.01_774.55,,,,774.5467,ESI (-),6.006,7783,19333,15343,24854,35802,14045,6593,23714,14959,31672,26580,52728,3834,70956,9016,11716,16211,93936,50399,61285,33013,20893,22617,16979,28853,43767,22291,6129,35624,38696,32976,24393,25265,39408,17167,10535,41913,29101,34240,69612,39035,74539,25677,48260,90407,48424,37187,25706,42140,37410,64667,35984,59229,60012,6904,1205,999,2077,3830,5788,6490,481,215,108,10.08,10.08,101,144,42212,21431,26599,27904,35732,44299,43649
8.43_777.59,,,,777.5932,ESI (-),8.426,48353,47121,42477,44662,35411,32576,37116,46338,32279,58708,62558,51905,41041,63237,40841,59375,44826,59899,41187,30350,24010,28389,29719,25691,20653,32353,41119,15063,27145,24811,40763,22948,23271,39272,28339,14598,22656,16441,17794,36487,20149,23249,13606,26422,36774,19579,25236,17936,36006,38437,37487,45594,28047,49642,23681,8710,9055,13926,16630,20389,21063,15307,6291,8015,9114,9951,11614,11747,47452,18987,29694,38699,44269,48849,49165
4.18_671.51,,,,671.5057,ESI (-),4.185,5611,6308,70086,66078,89445,67956,37086,69895,46159,89282,78798,96745,37770,95363,82188,50762,88802,101702,77072,85765,73038,53182,78857,71004,95227,73019,35634,380,352,923,421,1162,1236,1210,1003,811,1174,973,1039,1112,992,1170,1099,991,1022,1162,940,643,2266,2065,2656,1993,2158,1937,1554,905,1435,1028,1231,1543,1401,1374,990,1169,1042,1294,1672,1529,34338,39516,35802,35044,34554,35962,36073
